strategy,rps,second,n_runs,mean_total_pods,stddev_total_pods
st5-AttUpd,50,63,10,7.1000,0.7379
st5-AttUpd,50,64,10,7.1000,0.7379
st5-AttUpd,50,65,10,7.1000,0.7379
st5-AttUpd,50,66,10,7.1000,0.7379
st5-AttUpd,50,67,10,7.1000,0.7379
st5-AttUpd,50,68,10,7.1000,0.7379
st5-AttUpd,50,69,10,7.1000,0.7379
st5-AttUpd,50,70,10,7.1000,0.7379
st5-AttUpd,50,71,10,7.1000,0.7379
st5-AttUpd,50,72,10,7.1000,0.7379
st5-AttUpd,50,73,10,7.1000,0.7379
st5-AttUpd,50,74,10,7.1000,0.7379
st5-AttUpd,50,75,10,7.1000,0.7379
st5-AttUpd,50,76,10,7.1000,0.7379
st5-AttUpd,50,77,10,7.1000,0.7379
st5-AttUpd,50,78,10,7.1000,0.7379
st5-AttUpd,50,79,10,7.1000,0.7379
st5-AttUpd,50,80,10,7.1000,0.7379
st5-AttUpd,50,81,10,7.1000,0.7379
st5-AttUpd,50,82,10,7.1000,0.7379
st5-AttUpd,50,83,10,7.1000,0.7379
st5-AttUpd,50,84,10,7.1000,0.7379
st5-AttUpd,50,85,10,7.1000,0.7379
st5-AttUpd,50,86,10,7.1000,0.7379
st5-AttUpd,50,87,10,7.1000,0.7379
st5-AttUpd,50,88,10,7.1000,0.7379
st5-AttUpd,50,89,10,7.1000,0.7379
st5-AttUpd,50,90,10,7.1000,0.7379
st5-AttUpd,50,91,10,7.1000,0.7379
st5-AttUpd,50,92,10,7.1000,0.7379
st5-AttUpd,50,93,10,7.1000,0.7379
st5-AttUpd,50,94,10,7.1000,0.7379
st5-AttUpd,50,95,10,7.1000,0.7379
st5-AttUpd,50,96,10,7.1000,0.7379
st5-AttUpd,50,97,10,7.1000,0.7379
st5-AttUpd,50,98,10,7.1000,0.7379
st5-AttUpd,50,99,10,7.1000,0.7379
st5-AttUpd,50,100,10,7.1000,0.7379
st5-AttUpd,50,101,10,7.1000,0.7379
st5-AttUpd,50,102,10,7.1000,0.7379
st5-AttUpd,50,103,10,7.1000,0.7379
st5-AttUpd,50,104,10,7.1000,0.7379
st5-AttUpd,50,105,10,7.1000,0.7379
st5-AttUpd,50,106,10,7.1000,0.7379
st5-AttUpd,50,107,10,7.1000,0.7379
st5-AttUpd,50,108,10,7.1000,0.7379
st5-AttUpd,50,109,10,7.1000,0.7379
st5-AttUpd,50,110,10,7.1000,0.7379
st5-AttUpd,50,111,10,7.1000,0.7379
st5-AttUpd,50,112,10,7.1000,0.7379
st5-AttUpd,50,113,10,7.1000,0.7379
st5-AttUpd,50,114,10,7.1000,0.7379
st5-AttUpd,50,115,10,7.1000,0.7379
st5-AttUpd,50,116,10,7.1000,0.7379
st5-AttUpd,50,117,10,7.1000,0.7379
st5-AttUpd,50,118,10,7.1000,0.7379
st5-AttUpd,50,119,10,7.1000,0.7379
istio,50,0,10,6.0000,0.0000
istio,50,1,10,6.0000,0.0000
istio,50,2,10,6.0000,0.0000
istio,50,3,10,6.0000,0.0000
istio,50,4,10,6.0000,0.0000
istio,50,5,10,6.0000,0.0000
istio,50,6,10,6.0000,0.0000
istio,50,7,10,6.0000,0.0000
istio,50,8,10,6.0000,0.0000
istio,50,9,10,6.0000,0.0000
istio,50,10,10,6.0000,0.0000
istio,50,11,10,6.0000,0.0000
istio,50,12,10,6.0000,0.0000
istio,50,13,10,6.0000,0.0000
istio,50,14,10,6.0000,0.0000
istio,50,15,10,6.0000,0.0000
istio,50,16,10,6.0000,0.0000
istio,50,17,10,6.0000,0.0000
istio,50,18,10,6.0000,0.0000
istio,50,19,10,6.0000,0.0000
istio,50,20,10,6.0000,0.0000
istio,50,21,10,6.0000,0.0000
istio,50,22,10,6.0000,0.0000
istio,50,23,10,6.0000,0.0000
istio,50,24,10,6.0000,0.0000
istio,50,25,10,6.0000,0.0000
istio,50,26,10,6.0000,0.0000
istio,50,27,10,6.0000,0.0000
istio,50,28,10,6.0000,0.0000
istio,50,29,10,6.1000,0.3162
istio,50,30,10,6.2000,0.4216
istio,50,31,10,7.0000,0.8165
istio,50,32,10,7.1000,0.8756
istio,50,33,10,7.1000,0.8756
istio,50,34,10,7.1000,0.8756
istio,50,35,10,7.1000,0.8756
istio,50,36,10,7.1000,0.8756
istio,50,37,10,7.1000,0.8756
istio,50,38,10,7.1000,0.8756
istio,50,39,10,7.1000,0.8756
istio,50,40,10,7.1000,0.8756
istio,50,41,10,7.1000,0.8756
istio,50,42,10,7.1000,0.8756
istio,50,43,10,7.1000,0.8756
istio,50,44,10,7.1000,0.8756
istio,50,45,10,7.2000,0.7888
istio,50,46,10,7.3000,0.8233
istio,50,47,10,7.3000,0.8233
istio,50,48,10,7.3000,0.8233
istio,50,49,10,7.3000,0.8233
istio,50,50,10,7.3000,0.8233
istio,50,51,10,7.3000,0.8233
istio,50,52,10,7.3000,0.8233
istio,50,53,10,7.3000,0.8233
istio,50,54,10,7.3000,0.8233
istio,50,55,10,7.3000,0.8233
istio,50,56,10,7.3000,0.8233
istio,50,57,10,7.3000,0.8233
istio,50,58,10,7.3000,0.8233
istio,50,59,10,7.3000,0.8233
istio,50,60,10,7.3000,0.8233
istio,50,61,10,7.3000,0.8233
istio,50,62,10,7.3000,0.8233
istio,50,63,10,7.3000,0.8233
istio,50,64,10,7.3000,0.8233
istio,50,65,10,7.3000,0.8233
istio,50,66,10,7.3000,0.8233
istio,50,67,10,7.3000,0.8233
istio,50,68,10,7.3000,0.8233
istio,50,69,10,7.3000,0.8233
istio,50,70,10,7.3000,0.8233
istio,50,71,10,7.3000,0.8233
istio,50,72,10,7.3000,0.8233
istio,50,73,10,7.3000,0.8233
istio,50,74,10,7.3000,0.8233
istio,50,75,10,7.3000,0.8233
istio,50,76,10,7.3000,0.8233
istio,50,77,10,7.3000,0.8233
istio,50,78,10,7.3000,0.8233
istio,50,79,10,7.3000,0.8233
istio,50,80,10,7.3000,0.8233
istio,50,81,10,7.3000,0.8233
istio,50,82,10,7.3000,0.8233
istio,50,83,10,7.3000,0.8233
istio,50,84,10,7.3000,0.8233
istio,50,85,10,7.3000,0.8233
istio,50,86,10,7.3000,0.8233
istio,50,87,10,7.3000,0.8233
istio,50,88,10,7.3000,0.8233
istio,50,89,10,7.3000,0.8233
istio,50,90,10,7.3000,0.8233
istio,50,91,10,7.3000,0.8233
istio,50,92,10,7.3000,0.8233
istio,50,93,10,7.3000,0.8233
istio,50,94,10,7.3000,0.8233
istio,50,95,10,7.3000,0.8233
istio,50,96,10,7.3000,0.8233
istio,50,97,10,7.3000,0.8233
istio,50,98,10,7.3000,0.8233
istio,50,99,10,7.3000,0.8233
istio,50,100,10,7.3000,0.8233
istio,50,101,10,7.3000,0.8233
istio,50,102,10,7.3000,0.8233
istio,50,103,10,7.3000,0.8233
istio,50,104,10,7.3000,0.8233
istio,50,105,10,7.3000,0.8233
istio,50,106,10,7.3000,0.8233
istio,50,107,10,7.3000,0.8233
istio,50,108,10,7.3000,0.8233
istio,50,109,10,7.3000,0.8233
istio,50,110,10,7.3000,0.8233
istio,50,111,10,7.3000,0.8233
istio,50,112,10,7.3000,0.8233
istio,50,113,10,7.3000,0.8233
istio,50,114,10,7.3000,0.8233
istio,50,115,10,7.3000,0.8233
istio,50,116,10,7.3000,0.8233
istio,50,117,10,7.3000,0.8233
istio,50,118,10,7.3000,0.8233
istio,50,119,10,7.3000,0.8233
st5-AttUpd,100,0,10,6.0000,0.0000
st5-AttUpd,100,1,10,6.0000,0.0000
st5-AttUpd,100,2,10,6.0000,0.0000
st5-AttUpd,100,3,10,6.0000,0.0000
st5-AttUpd,100,4,10,6.0000,0.0000
st5-AttUpd,100,5,10,6.0000,0.0000
st5-AttUpd,100,6,10,6.0000,0.0000
st5-AttUpd,100,7,10,6.0000,0.0000
st5-AttUpd,100,8,10,6.0000,0.0000
st5-AttUpd,100,9,10,6.0000,0.0000
st5-AttUpd,100,10,10,6.0000,0.0000
st5-AttUpd,100,11,10,6.0000,0.0000
st5-AttUpd,100,12,10,6.0000,0.0000
st5-AttUpd,100,13,10,6.0000,0.0000
st5-AttUpd,100,14,10,6.0000,0.0000
st5-AttUpd,100,15,10,6.1000,0.3162
st5-AttUpd,100,16,10,6.2000,0.6325
st5-AttUpd,100,17,10,6.2000,0.6325
st5-AttUpd,100,18,10,6.2000,0.6325
st5-AttUpd,100,19,10,6.2000,0.6325
st5-AttUpd,100,20,10,6.2000,0.6325
st5-AttUpd,100,21,10,6.2000,0.6325
st5-AttUpd,100,22,10,6.2000,0.6325
st5-AttUpd,100,23,10,6.2000,0.6325
st5-AttUpd,100,24,10,6.2000,0.6325
st5-AttUpd,100,25,10,6.2000,0.6325
st5-AttUpd,100,26,10,6.2000,0.6325
st5-AttUpd,100,27,10,6.2000,0.6325
st5-AttUpd,100,28,10,6.2000,0.6325
st5-AttUpd,100,29,10,6.3000,0.6749
st5-AttUpd,100,30,10,6.6000,1.0750
st5-AttUpd,100,31,10,7.7000,1.3375
st5-AttUpd,100,32,10,8.1000,1.1005
st5-AttUpd,100,33,10,8.1000,1.1005
st5-AttUpd,100,34,10,8.2000,1.0328
st5-AttUpd,100,35,10,8.2000,1.0328
st5-AttUpd,100,36,10,8.2000,1.0328
st5-AttUpd,100,37,10,8.2000,1.0328
st5-AttUpd,100,38,10,8.3000,1.0593
st5-AttUpd,100,39,10,8.3000,1.0593
st5-AttUpd,100,40,10,8.3000,1.0593
st5-AttUpd,100,41,10,8.3000,1.0593
st5-AttUpd,100,42,10,8.3000,1.0593
st5-AttUpd,100,43,10,8.3000,1.0593
st5-AttUpd,100,44,10,8.3000,1.0593
st5-AttUpd,100,45,10,8.7000,0.8233
st5-AttUpd,100,46,10,8.9000,0.5676
st5-AttUpd,100,47,10,8.9000,0.5676
st5-AttUpd,100,48,10,8.9000,0.5676
st5-AttUpd,100,49,10,8.9000,0.5676
st5-AttUpd,100,50,10,8.9000,0.5676
st5-AttUpd,100,51,10,8.9000,0.5676
st5-AttUpd,100,52,10,8.9000,0.5676
st5-AttUpd,100,53,10,8.9000,0.5676
st5-AttUpd,100,54,10,8.9000,0.5676
st5-AttUpd,100,55,10,8.9000,0.5676
st5-AttUpd,100,56,10,8.9000,0.5676
st5-AttUpd,100,57,10,8.9000,0.5676
st5-AttUpd,100,58,10,8.9000,0.5676
st5-AttUpd,100,59,10,8.9000,0.5676
st5-AttUpd,100,60,10,8.9000,0.5676
st5-AttUpd,100,61,10,8.9000,0.5676
st5-AttUpd,100,62,10,8.9000,0.5676
st5-AttUpd,100,63,10,8.9000,0.5676
st5-AttUpd,100,64,10,8.9000,0.5676
st5-AttUpd,100,65,10,8.9000,0.5676
st5-AttUpd,100,66,10,8.9000,0.5676
st5-AttUpd,100,67,10,8.9000,0.5676
st5-AttUpd,100,68,10,8.9000,0.5676
st5-AttUpd,100,69,10,8.9000,0.5676
st5-AttUpd,100,70,10,8.9000,0.5676
st5-AttUpd,100,71,10,8.9000,0.5676
st5-AttUpd,100,72,10,8.9000,0.5676
st5-AttUpd,100,73,10,8.9000,0.5676
st5-AttUpd,100,74,10,8.9000,0.5676
st5-AttUpd,100,75,10,8.9000,0.5676
st5-AttUpd,100,76,10,8.9000,0.5676
st5-AttUpd,100,77,10,8.9000,0.5676
st5-AttUpd,100,78,10,8.9000,0.5676
st5-AttUpd,100,79,10,8.9000,0.5676
st5-AttUpd,100,80,10,8.9000,0.5676
st5-AttUpd,100,81,10,8.9000,0.5676
st5-AttUpd,100,82,10,8.9000,0.5676
st5-AttUpd,100,83,10,8.9000,0.5676
st5-AttUpd,100,84,10,8.9000,0.5676
st5-AttUpd,100,85,10,8.9000,0.5676
st5-AttUpd,100,86,10,8.9000,0.5676
st5-AttUpd,100,87,10,8.9000,0.5676
st5-AttUpd,100,88,10,8.9000,0.5676
st5-AttUpd,100,89,10,8.9000,0.5676
st5-AttUpd,100,90,10,8.9000,0.5676
st5-AttUpd,100,91,10,8.9000,0.5676
st5-AttUpd,100,92,10,8.9000,0.5676
st5-AttUpd,100,93,10,8.9000,0.5676
st5-AttUpd,100,94,10,8.9000,0.5676
st5-AttUpd,100,95,10,8.9000,0.5676
st5-AttUpd,100,96,10,8.9000,0.5676
st5-AttUpd,100,97,10,8.9000,0.5676
st5-AttUpd,100,98,10,8.9000,0.5676
st5-AttUpd,100,99,10,8.9000,0.5676
st5-AttUpd,100,100,10,8.9000,0.5676
st5-AttUpd,100,101,10,8.9000,0.5676
st5-AttUpd,100,102,10,8.9000,0.5676
st5-AttUpd,100,103,10,8.9000,0.5676
st5-AttUpd,100,104,10,8.9000,0.5676
st5-AttUpd,100,105,10,8.9000,0.5676
st5-AttUpd,100,106,10,8.9000,0.5676
st5-AttUpd,100,107,10,8.9000,0.5676
st5-AttUpd,100,108,10,8.9000,0.5676
st5-AttUpd,100,109,10,8.9000,0.5676
st5-AttUpd,100,110,10,8.9000,0.5676
st5-AttUpd,100,111,10,8.9000,0.5676
st5-AttUpd,100,112,10,8.9000,0.5676
st5-AttUpd,100,113,10,8.9000,0.5676
st5-AttUpd,100,114,10,8.9000,0.5676
st5-AttUpd,100,115,10,8.9000,0.5676
st5-AttUpd,100,116,10,8.9000,0.5676
st5-AttUpd,100,117,10,8.9000,0.5676
st5-AttUpd,100,118,10,8.9000,0.5676
st5-AttUpd,100,119,10,8.9000,0.5676
istio,100,0,10,6.0000,0.0000
istio,100,1,10,6.0000,0.0000
istio,100,2,10,6.0000,0.0000
istio,100,3,10,6.0000,0.0000
istio,100,4,10,6.0000,0.0000
istio,100,5,10,6.0000,0.0000
istio,100,6,10,6.0000,0.0000
istio,100,7,10,6.0000,0.0000
istio,100,8,10,6.0000,0.0000
istio,100,9,10,6.0000,0.0000
istio,100,10,10,6.0000,0.0000
istio,100,11,10,6.0000,0.0000
istio,100,12,10,6.0000,0.0000
istio,100,13,10,6.0000,0.0000
istio,100,14,10,6.0000,0.0000
istio,100,15,10,6.0000,0.0000
istio,100,16,10,6.0000,0.0000
istio,100,17,10,6.0000,0.0000
istio,100,18,10,6.0000,0.0000
istio,100,19,10,6.0000,0.0000
istio,100,20,10,6.0000,0.0000
istio,100,21,10,6.0000,0.0000
istio,100,22,10,6.0000,0.0000
istio,100,23,10,6.0000,0.0000
istio,100,24,10,6.0000,0.0000
istio,100,25,10,6.0000,0.0000
istio,100,26,10,6.0000,0.0000
istio,100,27,10,6.0000,0.0000
istio,100,28,10,6.0000,0.0000
istio,100,29,10,6.0000,0.0000
istio,100,30,10,7.4000,0.9661
istio,100,31,10,8.5000,1.2693
istio,100,32,10,8.5000,1.2693
istio,100,33,10,8.5000,1.2693
istio,100,34,10,8.5000,1.2693
istio,100,35,10,8.5000,1.2693
istio,100,36,10,8.5000,1.2693
istio,100,37,10,8.5000,1.2693
istio,100,38,10,8.5000,1.2693
istio,100,39,10,8.5000,1.2693
istio,100,40,10,8.5000,1.2693
istio,100,41,10,8.5000,1.2693
istio,100,42,10,8.5000,1.2693
istio,100,43,10,8.5000,1.2693
istio,100,44,10,8.5000,1.2693
istio,100,45,10,9.1000,0.7379
istio,100,46,10,9.2000,0.9189
istio,100,47,10,9.2000,0.9189
istio,100,48,10,9.2000,0.9189
istio,100,49,10,9.2000,0.9189
istio,100,50,10,9.2000,0.9189
istio,100,51,10,9.2000,0.9189
istio,100,52,10,9.2000,0.9189
istio,100,53,10,9.2000,0.9189
istio,100,54,10,9.2000,0.9189
istio,100,55,10,9.2000,0.9189
istio,100,56,10,9.2000,0.9189
istio,100,57,10,9.2000,0.9189
istio,100,58,10,9.2000,0.9189
istio,100,59,10,9.2000,0.9189
istio,100,60,10,9.3000,0.8233
istio,100,61,10,9.3000,0.8233
istio,100,62,10,9.3000,0.8233
istio,100,63,10,9.3000,0.8233
istio,100,64,10,9.3000,0.8233
istio,100,65,10,9.3000,0.8233
istio,100,66,10,9.3000,0.8233
istio,100,67,10,9.3000,0.8233
istio,100,68,10,9.3000,0.8233
istio,100,69,10,9.3000,0.8233
istio,100,70,10,9.3000,0.8233
istio,100,71,10,9.3000,0.8233
istio,100,72,10,9.3000,0.8233
istio,100,73,10,9.3000,0.8233
istio,100,74,10,9.3000,0.8233
istio,100,75,10,9.3000,0.8233
istio,100,76,10,9.3000,0.8233
istio,100,77,10,9.3000,0.8233
istio,100,78,10,9.3000,0.8233
istio,100,79,10,9.3000,0.8233
istio,100,80,10,9.3000,0.8233
istio,100,81,10,9.3000,0.8233
istio,100,82,10,9.3000,0.8233
istio,100,83,10,9.3000,0.8233
istio,100,84,10,9.3000,0.8233
istio,100,85,10,9.3000,0.8233
istio,100,86,10,9.3000,0.8233
istio,100,87,10,9.3000,0.8233
istio,100,88,10,9.3000,0.8233
istio,100,89,10,9.3000,0.8233
istio,100,90,10,9.3000,0.8233
istio,100,91,10,9.3000,0.8233
istio,100,92,10,9.3000,0.8233
istio,100,93,10,9.3000,0.8233
istio,100,94,10,9.3000,0.8233
istio,100,95,10,9.3000,0.8233
istio,100,96,10,9.3000,0.8233
istio,100,97,10,9.3000,0.8233
istio,100,98,10,9.3000,0.8233
istio,100,99,10,9.3000,0.8233
istio,100,100,10,9.3000,0.8233
istio,100,101,10,9.3000,0.8233
istio,100,102,10,9.3000,0.8233
istio,100,103,10,9.3000,0.8233
istio,100,104,10,9.3000,0.8233
istio,100,105,10,9.3000,0.8233
istio,100,106,10,9.3000,0.8233
istio,100,107,10,9.3000,0.8233
istio,100,108,10,9.3000,0.8233
istio,100,109,10,9.3000,0.8233
istio,100,110,10,9.3000,0.8233
istio,100,111,10,9.3000,0.8233
istio,100,112,10,9.3000,0.8233
istio,100,113,10,9.3000,0.8233
istio,100,114,10,9.3000,0.8233
istio,100,115,10,9.3000,0.8233
istio,100,116,10,9.3000,0.8233
istio,100,117,10,9.3000,0.8233
istio,100,118,10,9.3000,0.8233
istio,100,119,10,9.3000,0.8233
st5-AttUpd,200,0,10,6.0000,0.0000
st5-AttUpd,200,1,10,6.0000,0.0000
st5-AttUpd,200,2,10,6.0000,0.0000
st5-AttUpd,200,3,10,6.0000,0.0000
st5-AttUpd,200,4,10,6.0000,0.0000
st5-AttUpd,200,5,10,6.0000,0.0000
st5-AttUpd,200,6,10,6.0000,0.0000
st5-AttUpd,200,7,10,6.0000,0.0000
st5-AttUpd,200,8,10,6.0000,0.0000
st5-AttUpd,200,9,10,6.0000,0.0000
st5-AttUpd,200,10,10,6.0000,0.0000
st5-AttUpd,200,11,10,6.0000,0.0000
st5-AttUpd,200,12,10,6.0000,0.0000
st5-AttUpd,200,13,10,6.0000,0.0000
st5-AttUpd,200,14,10,6.1000,0.3162
st5-AttUpd,200,15,10,6.3000,0.6749
st5-AttUpd,200,16,10,6.4000,0.8433
st5-AttUpd,200,17,10,6.4000,0.8433
st5-AttUpd,200,18,10,6.4000,0.8433
st5-AttUpd,200,19,10,6.4000,0.8433
st5-AttUpd,200,20,10,6.4000,0.8433
st5-AttUpd,200,21,10,6.4000,0.8433
st5-AttUpd,200,22,10,6.4000,0.8433
st5-AttUpd,200,23,10,6.4000,0.8433
st5-AttUpd,200,24,10,6.4000,0.8433
st5-AttUpd,200,25,10,6.5000,0.8498
st5-AttUpd,200,26,10,6.5000,0.8498
st5-AttUpd,200,27,10,6.5000,0.8498
st5-AttUpd,200,28,10,6.7000,0.9487
st5-AttUpd,200,29,10,7.2000,1.1353
st5-AttUpd,200,30,10,9.2000,1.3984
st5-AttUpd,200,31,10,9.7000,1.2517
st5-AttUpd,200,32,10,9.7000,1.2517
st5-AttUpd,200,33,10,9.7000,1.2517
st5-AttUpd,200,34,10,9.7000,1.2517
st5-AttUpd,200,35,10,9.7000,1.2517
st5-AttUpd,200,36,10,9.7000,1.2517
st5-AttUpd,200,37,10,9.7000,1.2517
st5-AttUpd,200,38,10,9.7000,1.2517
st5-AttUpd,200,39,10,9.7000,1.2517
st5-AttUpd,200,40,10,10.1000,0.8756
st5-AttUpd,200,41,10,10.1000,0.8756
st5-AttUpd,200,42,10,10.1000,0.8756
st5-AttUpd,200,43,10,10.1000,0.8756
st5-AttUpd,200,44,10,10.2000,0.7888
st5-AttUpd,200,45,10,10.5000,0.5270
st5-AttUpd,200,46,10,10.6000,0.5164
st5-AttUpd,200,47,10,10.6000,0.5164
st5-AttUpd,200,48,10,10.6000,0.5164
st5-AttUpd,200,49,10,10.6000,0.5164
st5-AttUpd,200,50,10,10.6000,0.5164
st5-AttUpd,200,51,10,10.6000,0.5164
st5-AttUpd,200,52,10,10.6000,0.5164
st5-AttUpd,200,53,10,10.6000,0.5164
st5-AttUpd,200,54,10,10.6000,0.5164
st5-AttUpd,200,55,10,10.6000,0.5164
st5-AttUpd,200,56,10,10.6000,0.5164
st5-AttUpd,200,57,10,10.6000,0.5164
st5-AttUpd,200,58,10,10.6000,0.5164
st5-AttUpd,200,59,10,10.6000,0.5164
st5-AttUpd,200,60,10,10.7000,0.4830
st5-AttUpd,200,61,10,10.8000,0.4216
st5-AttUpd,200,62,10,10.8000,0.4216
st5-AttUpd,200,63,10,10.8000,0.4216
st5-AttUpd,200,64,10,10.8000,0.4216
st5-AttUpd,200,65,10,10.8000,0.4216
st5-AttUpd,200,66,10,10.8000,0.4216
st5-AttUpd,200,67,10,10.8000,0.4216
st5-AttUpd,200,68,10,10.8000,0.4216
st5-AttUpd,200,69,10,10.8000,0.4216
st5-AttUpd,200,70,10,10.8000,0.4216
st5-AttUpd,200,71,10,10.8000,0.4216
st5-AttUpd,200,72,10,10.8000,0.4216
st5-AttUpd,200,73,10,10.8000,0.4216
st5-AttUpd,200,74,10,10.9000,0.5676
st5-AttUpd,200,75,10,10.9000,0.5676
st5-AttUpd,200,76,10,10.9000,0.5676
st5-AttUpd,200,77,10,10.9000,0.5676
st5-AttUpd,200,78,10,10.9000,0.5676
st5-AttUpd,200,79,10,10.9000,0.5676
st5-AttUpd,200,80,10,10.9000,0.5676
st5-AttUpd,200,81,10,10.9000,0.5676
st5-AttUpd,200,82,10,10.9000,0.5676
st5-AttUpd,200,83,10,10.9000,0.5676
st5-AttUpd,200,84,10,10.9000,0.5676
st5-AttUpd,200,85,10,10.9000,0.5676
st5-AttUpd,200,86,10,10.9000,0.5676
st5-AttUpd,200,87,10,10.9000,0.5676
st5-AttUpd,200,88,10,10.9000,0.5676
st5-AttUpd,200,89,10,10.9000,0.5676
st5-AttUpd,200,90,10,11.0000,0.4714
st5-AttUpd,200,91,10,11.0000,0.4714
st5-AttUpd,200,92,10,11.0000,0.4714
st5-AttUpd,200,93,10,11.0000,0.4714
st5-AttUpd,200,94,10,11.0000,0.4714
st5-AttUpd,200,95,10,11.0000,0.4714
st5-AttUpd,200,96,10,11.0000,0.4714
st5-AttUpd,200,97,10,11.0000,0.4714
st5-AttUpd,200,98,10,11.0000,0.4714
st5-AttUpd,200,99,10,11.1000,0.5676
st5-AttUpd,200,100,10,11.1000,0.5676
st5-AttUpd,200,101,10,11.1000,0.5676
st5-AttUpd,200,102,10,11.1000,0.5676
st5-AttUpd,200,103,10,11.1000,0.5676
st5-AttUpd,200,104,10,11.1000,0.5676
st5-AttUpd,200,105,10,11.2000,0.6325
st5-AttUpd,200,106,10,11.2000,0.6325
st5-AttUpd,200,107,10,11.2000,0.6325
st5-AttUpd,200,108,10,11.2000,0.6325
st5-AttUpd,200,109,10,11.2000,0.6325
st5-AttUpd,200,110,10,11.2000,0.6325
st5-AttUpd,200,111,10,11.2000,0.6325
st5-AttUpd,200,112,10,11.2000,0.6325
st5-AttUpd,200,113,10,11.2000,0.6325
st5-AttUpd,200,114,10,11.2000,0.6325
st5-AttUpd,200,115,10,11.2000,0.6325
st5-AttUpd,200,116,10,11.2000,0.6325
st5-AttUpd,200,117,10,11.2000,0.6325
st5-AttUpd,200,118,10,11.2000,0.6325
st5-AttUpd,200,119,10,11.2000,0.6325
istio,200,0,10,6.0000,0.0000
istio,200,1,10,6.0000,0.0000
istio,200,2,10,6.0000,0.0000
istio,200,3,10,6.0000,0.0000
istio,200,4,10,6.0000,0.0000
istio,200,5,10,6.0000,0.0000
istio,200,6,10,6.0000,0.0000
istio,200,7,10,6.0000,0.0000
istio,200,8,10,6.0000,0.0000
istio,200,9,10,6.0000,0.0000
istio,200,10,10,6.0000,0.0000
istio,200,11,10,6.0000,0.0000
istio,200,12,10,6.0000,0.0000
istio,200,13,10,6.0000,0.0000
istio,200,14,10,6.0000,0.0000
istio,200,15,10,6.1000,0.3162
istio,200,16,10,6.2000,0.6325
istio,200,17,10,6.2000,0.6325
istio,200,18,10,6.2000,0.6325
