strategy,service,rps,run,pending_pod_seconds,pods_added,pending_time_per_pod
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_125250,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_144042,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_162813,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_181553,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-20-26_235948,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_020438,5,1,5.0000
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_035218,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_053922,5,1,5.0000
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_091625,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_110416,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_125250,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_144042,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_162813,0,0,
st5-AttUpd,reviews-v1,500,benchmark1.5-05-21-26_181553,0,0,
st5-AttUpd,reviews-v2,500,benchmark1.5-05-20-26_235948,14,3,4.6667
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_020438,14,3,4.6667
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_035218,15,3,5.0000
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_053922,4,1,4.0000
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_091625,15,3,5.0000
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_110416,10,2,5.0000
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_125250,15,3,5.0000
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_144042,7,2,3.5000
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_162813,9,2,4.5000
st5-AttUpd,reviews-v2,500,benchmark1.5-05-21-26_181553,4,1,4.0000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-20-26_235948,14,3,4.6667
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_020438,18,4,4.5000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_035218,15,3,5.0000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_053922,10,2,5.0000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_091625,14,3,4.6667
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_110416,5,1,5.0000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_125250,16,4,4.0000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_144042,10,2,5.0000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_162813,10,2,5.0000
st5-AttUpd,reviews-v3,500,benchmark1.5-05-21-26_181553,14,3,4.6667
