strategy,service,rps,run,pending_pod_seconds,pods_added,pending_time_per_pod
istio,reviews-v3,400,benchmark1.5-05-21-26_110416,8,2,4.0000
istio,reviews-v3,400,benchmark1.5-05-21-26_125250,7,2,3.5000
istio,reviews-v3,400,benchmark1.5-05-21-26_144042,3,1,3.0000
istio,reviews-v3,400,benchmark1.5-05-21-26_162813,4,1,4.0000
istio,reviews-v3,400,benchmark1.5-05-21-26_181553,3,1,3.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-20-26_235948,4,1,4.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_020438,4,1,4.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_035218,6,1,6.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_053922,0,0,
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_091625,4,1,4.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_110416,4,1,4.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_125250,6,1,6.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_144042,5,1,5.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_162813,4,1,4.0000
st5-AttUpd,details-v1,400,benchmark1.5-05-21-26_181553,5,1,5.0000
st5-AttUpd,productpage-v1,400,benchmark1.5-05-20-26_235948,30,6,5.0000
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_020438,31,6,5.1667
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_035218,28,6,4.6667
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_053922,26,6,4.3333
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_091625,35,8,4.3750
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_110416,26,6,4.3333
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_125250,32,6,5.3333
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_144042,30,6,5.0000
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_162813,29,6,4.8333
st5-AttUpd,productpage-v1,400,benchmark1.5-05-21-26_181553,24,6,4.0000
st5-AttUpd,ratings-v1,400,benchmark1.5-05-20-26_235948,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_020438,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_035218,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_053922,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_091625,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_110416,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_125250,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_144042,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_162813,0,0,
st5-AttUpd,ratings-v1,400,benchmark1.5-05-21-26_181553,0,0,
st5-AttUpd,reviews-v1,400,benchmark1.5-05-20-26_235948,5,1,5.0000
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_020438,6,1,6.0000
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_035218,4,1,4.0000
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_053922,0,0,
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_091625,0,0,
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_110416,3,1,3.0000
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_125250,5,1,5.0000
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_144042,0,0,
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_162813,5,1,5.0000
st5-AttUpd,reviews-v1,400,benchmark1.5-05-21-26_181553,5,1,5.0000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-20-26_235948,9,2,4.5000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_020438,11,2,5.5000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_035218,8,2,4.0000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_053922,13,3,4.3333
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_091625,21,4,5.2500
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_110416,8,2,4.0000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_125250,5,1,5.0000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_144042,5,1,5.0000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_162813,9,2,4.5000
st5-AttUpd,reviews-v2,400,benchmark1.5-05-21-26_181553,14,3,4.6667
st5-AttUpd,reviews-v3,400,benchmark1.5-05-20-26_235948,9,2,4.5000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_020438,9,2,4.5000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_035218,9,2,4.5000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_053922,10,2,5.0000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_091625,15,3,5.0000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_110416,15,3,5.0000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_125250,15,3,5.0000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_144042,14,3,4.6667
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_162813,9,2,4.5000
st5-AttUpd,reviews-v3,400,benchmark1.5-05-21-26_181553,13,3,4.3333
