strategy,rps,second,n_runs,mean_pending_pods,stddev_pending_pods
istio,400,9,10,0.0000,0.0000
istio,400,10,10,0.0000,0.0000
istio,400,11,10,0.0000,0.0000
istio,400,12,10,0.0000,0.0000
istio,400,13,10,0.2000,0.6325
istio,400,14,10,0.2000,0.6325
istio,400,15,10,0.2000,0.6325
istio,400,16,10,0.0000,0.0000
istio,400,17,10,0.0000,0.0000
istio,400,18,10,0.0000,0.0000
istio,400,19,10,0.0000,0.0000
istio,400,20,10,0.0000,0.0000
istio,400,21,10,0.0000,0.0000
istio,400,22,10,0.0000,0.0000
istio,400,23,10,0.0000,0.0000
istio,400,24,10,0.0000,0.0000
istio,400,25,10,0.0000,0.0000
istio,400,26,10,0.0000,0.0000
istio,400,27,10,1.9000,2.2828
istio,400,28,10,4.1000,1.5239
istio,400,29,10,4.1000,1.5239
istio,400,30,10,3.2000,1.8738
istio,400,31,10,0.4000,0.6992
istio,400,32,10,0.0000,0.0000
istio,400,33,10,0.0000,0.0000
istio,400,34,10,0.0000,0.0000
istio,400,35,9,0.0000,0.0000
istio,400,36,10,0.0000,0.0000
istio,400,37,10,0.0000,0.0000
istio,400,38,10,0.0000,0.0000
istio,400,39,10,0.0000,0.0000
istio,400,40,10,0.0000,0.0000
istio,400,41,10,0.0000,0.0000
istio,400,42,10,0.7000,1.3375
istio,400,43,10,1.0000,1.4907
istio,400,44,10,1.0000,1.4907
istio,400,45,10,0.4000,0.6992
istio,400,46,10,0.0000,0.0000
istio,400,47,10,0.0000,0.0000
istio,400,48,10,0.0000,0.0000
istio,400,49,10,0.0000,0.0000
istio,400,50,10,0.0000,0.0000
istio,400,51,10,0.0000,0.0000
istio,400,52,10,0.0000,0.0000
istio,400,53,10,0.0000,0.0000
istio,400,54,10,0.0000,0.0000
istio,400,55,10,0.0000,0.0000
istio,400,56,10,0.0000,0.0000
istio,400,57,10,0.8000,1.3166
istio,400,58,10,1.7000,1.2517
istio,400,59,10,1.9000,1.2867
istio,400,60,10,1.6000,1.2649
istio,400,61,10,0.3000,0.6749
istio,400,62,10,0.0000,0.0000
istio,400,63,9,0.0000,0.0000
istio,400,64,10,0.0000,0.0000
istio,400,65,10,0.0000,0.0000
istio,400,66,10,0.0000,0.0000
istio,400,67,10,0.0000,0.0000
istio,400,68,9,0.0000,0.0000
istio,400,69,10,0.0000,0.0000
istio,400,70,10,0.0000,0.0000
istio,400,71,10,0.0000,0.0000
istio,400,72,10,0.4000,0.8433
istio,400,73,10,1.1000,1.1005
istio,400,74,10,1.3000,1.2517
istio,400,75,10,1.0000,1.2472
istio,400,76,10,0.3000,0.9487
istio,400,77,10,0.0000,0.0000
istio,400,78,10,0.0000,0.0000
istio,400,79,10,0.0000,0.0000
istio,400,80,10,0.0000,0.0000
istio,400,81,10,0.0000,0.0000
istio,400,82,10,0.0000,0.0000
istio,400,83,10,0.0000,0.0000
istio,400,84,10,0.0000,0.0000
istio,400,85,10,0.0000,0.0000
istio,400,86,10,0.0000,0.0000
istio,400,87,10,0.4000,0.8433
istio,400,88,10,0.5000,0.8498
istio,400,89,10,0.6000,1.0750
istio,400,90,10,0.4000,0.9661
istio,400,91,10,0.2000,0.6325
istio,400,92,9,0.0000,0.0000
istio,400,93,10,0.0000,0.0000
istio,400,94,10,0.0000,0.0000
istio,400,95,10,0.0000,0.0000
istio,400,96,10,0.0000,0.0000
istio,400,97,10,0.0000,0.0000
istio,400,98,10,0.0000,0.0000
istio,400,99,10,0.0000,0.0000
istio,400,100,10,0.0000,0.0000
istio,400,101,10,0.0000,0.0000
istio,400,102,10,0.5000,1.0801
istio,400,103,10,0.9000,1.1972
istio,400,104,10,0.9000,1.1972
istio,400,105,10,0.5000,0.8498
istio,400,106,10,0.2000,0.6325
istio,400,107,10,0.0000,0.0000
istio,400,108,10,0.0000,0.0000
istio,400,109,10,0.0000,0.0000
istio,400,110,10,0.0000,0.0000
istio,400,111,10,0.0000,0.0000
istio,400,112,10,0.0000,0.0000
istio,400,113,10,0.0000,0.0000
istio,400,114,10,0.0000,0.0000
istio,400,115,10,0.0000,0.0000
istio,400,116,10,0.0000,0.0000
istio,400,117,10,0.2000,0.4216
istio,400,118,10,0.2000,0.4216
istio,400,119,10,0.2000,0.4216
istio,400,120,4,0.0000,0.0000
