strategy,rps,second,n_runs,mean_total_pods,stddev_total_pods
istio,400,59,10,11.3000,0.6749
istio,400,60,10,11.7000,0.9487
istio,400,61,10,13.1000,1.4491
istio,400,62,10,13.2000,1.6193
istio,400,63,10,13.2000,1.6193
istio,400,64,10,13.2000,1.6193
istio,400,65,10,13.2000,1.6193
istio,400,66,10,13.2000,1.6193
istio,400,67,10,13.2000,1.6193
istio,400,68,10,13.2000,1.6193
istio,400,69,10,13.2000,1.6193
istio,400,70,10,13.2000,1.6193
istio,400,71,10,13.2000,1.6193
istio,400,72,10,13.2000,1.6193
istio,400,73,10,13.2000,1.6193
istio,400,74,10,13.2000,1.6193
istio,400,75,10,13.6000,1.5776
istio,400,76,10,14.5000,1.9579
istio,400,77,10,14.5000,1.9579
istio,400,78,10,14.5000,1.9579
istio,400,79,10,14.5000,1.9579
istio,400,80,10,14.5000,1.9579
istio,400,81,10,14.5000,1.9579
istio,400,82,10,14.5000,1.9579
istio,400,83,10,14.5000,1.9579
istio,400,84,10,14.5000,1.9579
istio,400,85,10,14.5000,1.9579
istio,400,86,10,14.5000,1.9579
istio,400,87,10,14.5000,1.9579
istio,400,88,10,14.5000,1.9579
istio,400,89,10,14.6000,1.8379
istio,400,90,10,14.9000,1.4491
istio,400,91,10,15.2000,1.0328
istio,400,92,10,15.2000,1.0328
istio,400,93,10,15.2000,1.0328
istio,400,94,10,15.2000,1.0328
istio,400,95,10,15.2000,1.0328
istio,400,96,10,15.2000,1.0328
istio,400,97,10,15.2000,1.0328
istio,400,98,10,15.2000,1.0328
istio,400,99,10,15.2000,1.0328
istio,400,100,10,15.2000,1.0328
istio,400,101,10,15.2000,1.0328
istio,400,102,10,15.2000,1.0328
istio,400,103,10,15.2000,1.0328
istio,400,104,10,15.2000,1.0328
istio,400,105,10,15.6000,1.1738
istio,400,106,10,16.1000,0.9944
istio,400,107,10,16.1000,0.9944
istio,400,108,10,16.1000,0.9944
istio,400,109,10,16.1000,0.9944
istio,400,110,10,16.1000,0.9944
istio,400,111,10,16.1000,0.9944
istio,400,112,10,16.1000,0.9944
istio,400,113,10,16.1000,0.9944
istio,400,114,10,16.1000,0.9944
istio,400,115,10,16.1000,0.9944
istio,400,116,10,16.1000,0.9944
istio,400,117,10,16.1000,0.9944
istio,400,118,10,16.1000,0.9944
istio,400,119,10,16.1000,0.9944
