strategy,service,run,rps,second,pods
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,90,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,91,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,92,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,93,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,94,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,95,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,96,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,97,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,98,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,99,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,100,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,101,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,102,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,103,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,104,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,105,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,106,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,107,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,108,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,109,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,110,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,111,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,112,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,113,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,114,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,115,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,116,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,117,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,118,2
st5-AttUpd,details-v1,benchmark1.5-05-20-26_235948,400,119,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,0,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,1,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,2,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,3,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,4,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,5,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,6,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,7,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,8,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,9,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,10,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,11,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,12,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,13,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,14,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,15,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,16,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,17,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,18,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,19,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,20,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,21,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,22,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,23,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,24,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,25,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,26,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,27,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,28,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,29,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,30,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,31,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,32,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,33,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,34,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,35,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,36,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,37,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,38,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,39,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,40,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,41,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,42,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,43,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,44,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,45,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,46,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,47,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,48,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,49,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,50,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,51,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,52,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,53,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,54,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,55,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,56,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,57,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,58,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,59,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,60,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,61,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,62,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,63,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,64,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,65,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,66,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,67,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,68,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,69,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,70,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,71,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,72,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,73,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,74,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,75,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,76,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,77,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,78,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,79,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,80,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,81,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,82,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,83,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,84,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,85,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,86,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,87,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,88,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,89,1
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,90,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,91,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,92,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,93,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,94,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,95,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,96,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,97,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,98,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,99,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,100,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,101,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,102,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,103,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,104,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,105,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,106,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,107,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,108,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,109,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,110,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,111,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,112,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,113,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,114,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,115,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,116,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,117,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,118,2
st5-AttUpd,details-v1,benchmark1.5-05-21-26_020438,400,119,2
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,0,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,1,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,2,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,3,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,4,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,5,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,6,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,7,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,8,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,9,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,10,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,11,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,12,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,13,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,14,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,15,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,16,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,17,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,18,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,19,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,20,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,21,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,22,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,23,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,24,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,25,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,26,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,27,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,28,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,29,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,30,1
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,31,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,32,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,33,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,34,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,35,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,36,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,37,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,38,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,39,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,40,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,41,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,42,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,43,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,44,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,45,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,46,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,47,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,48,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,49,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,50,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,51,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,52,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,53,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,54,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,55,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,56,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,57,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,58,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,59,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,60,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,61,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,62,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,63,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,64,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,65,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,66,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,67,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,68,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,69,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,70,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,71,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,72,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,73,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,74,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,75,3
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,76,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,77,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,78,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,79,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,80,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,81,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,82,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,83,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,84,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,85,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,86,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,87,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,88,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,89,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,90,5
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,91,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,92,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,93,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,94,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,95,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,96,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,97,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,98,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,99,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,100,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,101,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,102,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,103,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,104,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,105,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,106,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,107,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,108,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,109,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,110,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,111,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,112,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,113,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,114,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,115,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,116,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,117,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,118,7
st5-AttUpd,productpage-v1,benchmark1.5-05-20-26_235948,400,119,7
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,0,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,1,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,2,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,3,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,4,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,5,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,6,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,7,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,8,1
st5-AttUpd,productpage-v1,benchmark1.5-05-21-26_020438,400,9,1
