strategy,rps,run,total_pods
st5-AttUpd,300,benchmark1.5-05-21-26_110416,15
st5-AttUpd,300,benchmark1.5-05-21-26_125250,14
st5-AttUpd,300,benchmark1.5-05-21-26_144042,14
st5-AttUpd,300,benchmark1.5-05-21-26_162813,15
st5-AttUpd,300,benchmark1.5-05-21-26_181553,14
st5-AttUpd,400,benchmark1.5-05-20-26_235948,18
st5-AttUpd,400,benchmark1.5-05-21-26_020438,18
st5-AttUpd,400,benchmark1.5-05-21-26_035218,18
st5-AttUpd,400,benchmark1.5-05-21-26_053922,17
st5-AttUpd,400,benchmark1.5-05-21-26_091625,22
st5-AttUpd,400,benchmark1.5-05-21-26_110416,18
st5-AttUpd,400,benchmark1.5-05-21-26_125250,18
st5-AttUpd,400,benchmark1.5-05-21-26_144042,16
st5-AttUpd,400,benchmark1.5-05-21-26_162813,18
st5-AttUpd,400,benchmark1.5-05-21-26_181553,20
st5-AttUpd,500,benchmark1.5-05-20-26_235948,17
st5-AttUpd,500,benchmark1.5-05-21-26_020438,23
st5-AttUpd,500,benchmark1.5-05-21-26_035218,21
st5-AttUpd,500,benchmark1.5-05-21-26_053922,17
st5-AttUpd,500,benchmark1.5-05-21-26_091625,21
st5-AttUpd,500,benchmark1.5-05-21-26_110416,16
st5-AttUpd,500,benchmark1.5-05-21-26_125250,20
st5-AttUpd,500,benchmark1.5-05-21-26_144042,18
st5-AttUpd,500,benchmark1.5-05-21-26_162813,19
st5-AttUpd,500,benchmark1.5-05-21-26_181553,16
st5-AttUpd,600,benchmark1.5-05-20-26_235948,21
st5-AttUpd,600,benchmark1.5-05-21-26_020438,24
st5-AttUpd,600,benchmark1.5-05-21-26_035218,20
st5-AttUpd,600,benchmark1.5-05-21-26_053922,20
st5-AttUpd,600,benchmark1.5-05-21-26_091625,18
st5-AttUpd,600,benchmark1.5-05-21-26_110416,19
st5-AttUpd,600,benchmark1.5-05-21-26_125250,23
st5-AttUpd,600,benchmark1.5-05-21-26_144042,18
st5-AttUpd,600,benchmark1.5-05-21-26_162813,18
st5-AttUpd,600,benchmark1.5-05-21-26_181553,22
st5-AttUpd,700,benchmark1.5-05-20-26_235948,26
st5-AttUpd,700,benchmark1.5-05-21-26_020438,16
st5-AttUpd,700,benchmark1.5-05-21-26_035218,17
st5-AttUpd,700,benchmark1.5-05-21-26_053922,18
st5-AttUpd,700,benchmark1.5-05-21-26_091625,21
st5-AttUpd,700,benchmark1.5-05-21-26_110416,18
st5-AttUpd,700,benchmark1.5-05-21-26_125250,24
st5-AttUpd,700,benchmark1.5-05-21-26_144042,18
st5-AttUpd,700,benchmark1.5-05-21-26_162813,22
st5-AttUpd,700,benchmark1.5-05-21-26_181553,22
st5-AttUpd,800,benchmark1.5-05-20-26_235948,14
st5-AttUpd,800,benchmark1.5-05-21-26_020438,21
st5-AttUpd,800,benchmark1.5-05-21-26_035218,20
st5-AttUpd,800,benchmark1.5-05-21-26_053922,24
st5-AttUpd,800,benchmark1.5-05-21-26_091625,19
st5-AttUpd,800,benchmark1.5-05-21-26_110416,18
st5-AttUpd,800,benchmark1.5-05-21-26_125250,16
st5-AttUpd,800,benchmark1.5-05-21-26_144042,21
st5-AttUpd,800,benchmark1.5-05-21-26_162813,19
st5-AttUpd,800,benchmark1.5-05-21-26_181553,19
st5-AttUpd,900,benchmark1.5-05-20-26_235948,18
st5-AttUpd,900,benchmark1.5-05-21-26_020438,16
st5-AttUpd,900,benchmark1.5-05-21-26_035218,16
st5-AttUpd,900,benchmark1.5-05-21-26_053922,20
st5-AttUpd,900,benchmark1.5-05-21-26_091625,21
st5-AttUpd,900,benchmark1.5-05-21-26_110416,21
st5-AttUpd,900,benchmark1.5-05-21-26_125250,16
st5-AttUpd,900,benchmark1.5-05-21-26_144042,20
st5-AttUpd,900,benchmark1.5-05-21-26_162813,19
st5-AttUpd,900,benchmark1.5-05-21-26_181553,17
st5-AttUpd,1000,benchmark1.5-05-20-26_235948,18
st5-AttUpd,1000,benchmark1.5-05-21-26_020438,17
st5-AttUpd,1000,benchmark1.5-05-21-26_035218,18
st5-AttUpd,1000,benchmark1.5-05-21-26_053922,17
st5-AttUpd,1000,benchmark1.5-05-21-26_091625,17
st5-AttUpd,1000,benchmark1.5-05-21-26_110416,20
st5-AttUpd,1000,benchmark1.5-05-21-26_125250,17
st5-AttUpd,1000,benchmark1.5-05-21-26_144042,18
st5-AttUpd,1000,benchmark1.5-05-21-26_162813,22
st5-AttUpd,1000,benchmark1.5-05-21-26_181553,19
st5-AttUpd,1100,benchmark1.5-05-20-26_235948,18
st5-AttUpd,1100,benchmark1.5-05-21-26_020438,21
st5-AttUpd,1100,benchmark1.5-05-21-26_035218,20
st5-AttUpd,1100,benchmark1.5-05-21-26_053922,18
st5-AttUpd,1100,benchmark1.5-05-21-26_091625,20
st5-AttUpd,1100,benchmark1.5-05-21-26_110416,17
st5-AttUpd,1100,benchmark1.5-05-21-26_125250,19
st5-AttUpd,1100,benchmark1.5-05-21-26_144042,21
st5-AttUpd,1100,benchmark1.5-05-21-26_162813,16
st5-AttUpd,1100,benchmark1.5-05-21-26_181553,19
st5-AttUpd,1200,benchmark1.5-05-20-26_235948,21
st5-AttUpd,1200,benchmark1.5-05-21-26_020438,19
st5-AttUpd,1200,benchmark1.5-05-21-26_035218,17
st5-AttUpd,1200,benchmark1.5-05-21-26_053922,17
st5-AttUpd,1200,benchmark1.5-05-21-26_091625,24
st5-AttUpd,1200,benchmark1.5-05-21-26_110416,17
st5-AttUpd,1200,benchmark1.5-05-21-26_125250,20
st5-AttUpd,1200,benchmark1.5-05-21-26_144042,23
st5-AttUpd,1200,benchmark1.5-05-21-26_162813,17
st5-AttUpd,1200,benchmark1.5-05-21-26_181553,23
istio,50,benchmark1.5-05-20-26_235948,8
istio,50,benchmark1.5-05-21-26_020438,7
istio,50,benchmark1.5-05-21-26_035218,6
istio,50,benchmark1.5-05-21-26_053922,7
istio,50,benchmark1.5-05-21-26_091625,8
istio,50,benchmark1.5-05-21-26_110416,8
istio,50,benchmark1.5-05-21-26_125250,8
istio,50,benchmark1.5-05-21-26_144042,7
istio,50,benchmark1.5-05-21-26_162813,6
istio,50,benchmark1.5-05-21-26_181553,8
istio,100,benchmark1.5-05-20-26_235948,10
istio,100,benchmark1.5-05-21-26_020438,9
istio,100,benchmark1.5-05-21-26_035218,9
istio,100,benchmark1.5-05-21-26_053922,9
istio,100,benchmark1.5-05-21-26_091625,10
istio,100,benchmark1.5-05-21-26_110416,8
istio,100,benchmark1.5-05-21-26_125250,9
istio,100,benchmark1.5-05-21-26_144042,9
istio,100,benchmark1.5-05-21-26_162813,9
istio,100,benchmark1.5-05-21-26_181553,11
istio,200,benchmark1.5-05-20-26_235948,13
istio,200,benchmark1.5-05-21-26_020438,14
istio,200,benchmark1.5-05-21-26_035218,12
istio,200,benchmark1.5-05-21-26_053922,12
istio,200,benchmark1.5-05-21-26_091625,13
istio,200,benchmark1.5-05-21-26_110416,12
istio,200,benchmark1.5-05-21-26_125250,12
istio,200,benchmark1.5-05-21-26_144042,13
istio,200,benchmark1.5-05-21-26_162813,12
istio,200,benchmark1.5-05-21-26_181553,12
istio,300,benchmark1.5-05-20-26_235948,14
istio,300,benchmark1.5-05-21-26_020438,15
istio,300,benchmark1.5-05-21-26_035218,15
istio,300,benchmark1.5-05-21-26_053922,15
istio,300,benchmark1.5-05-21-26_091625,14
istio,300,benchmark1.5-05-21-26_110416,13
istio,300,benchmark1.5-05-21-26_125250,15
istio,300,benchmark1.5-05-21-26_144042,15
istio,300,benchmark1.5-05-21-26_162813,14
istio,300,benchmark1.5-05-21-26_181553,15
istio,400,benchmark1.5-05-20-26_235948,17
istio,400,benchmark1.5-05-21-26_020438,16
istio,400,benchmark1.5-05-21-26_035218,16
istio,400,benchmark1.5-05-21-26_053922,17
istio,400,benchmark1.5-05-21-26_091625,16
istio,400,benchmark1.5-05-21-26_110416,18
istio,400,benchmark1.5-05-21-26_125250,15
istio,400,benchmark1.5-05-21-26_144042,15
istio,400,benchmark1.5-05-21-26_162813,15
istio,400,benchmark1.5-05-21-26_181553,16
istio,500,benchmark1.5-05-20-26_235948,17
istio,500,benchmark1.5-05-21-26_020438,18
istio,500,benchmark1.5-05-21-26_035218,21
istio,500,benchmark1.5-05-21-26_053922,20
istio,500,benchmark1.5-05-21-26_091625,21
istio,500,benchmark1.5-05-21-26_110416,17
istio,500,benchmark1.5-05-21-26_125250,17
istio,500,benchmark1.5-05-21-26_144042,17
istio,500,benchmark1.5-05-21-26_162813,19
istio,500,benchmark1.5-05-21-26_181553,20
istio,600,benchmark1.5-05-20-26_235948,19
istio,600,benchmark1.5-05-21-26_020438,20
istio,600,benchmark1.5-05-21-26_035218,21
istio,600,benchmark1.5-05-21-26_053922,20
istio,600,benchmark1.5-05-21-26_091625,23
istio,600,benchmark1.5-05-21-26_110416,20
istio,600,benchmark1.5-05-21-26_125250,16
istio,600,benchmark1.5-05-21-26_144042,22
istio,600,benchmark1.5-05-21-26_162813,23
istio,600,benchmark1.5-05-21-26_181553,20
istio,700,benchmark1.5-05-20-26_235948,17
istio,700,benchmark1.5-05-21-26_020438,22
istio,700,benchmark1.5-05-21-26_035218,20
istio,700,benchmark1.5-05-21-26_053922,24
istio,700,benchmark1.5-05-21-26_091625,21
istio,700,benchmark1.5-05-21-26_110416,21
istio,700,benchmark1.5-05-21-26_125250,24
istio,700,benchmark1.5-05-21-26_144042,22
istio,700,benchmark1.5-05-21-26_162813,20
istio,700,benchmark1.5-05-21-26_181553,24
istio,800,benchmark1.5-05-20-26_235948,23
istio,800,benchmark1.5-05-21-26_020438,22
istio,800,benchmark1.5-05-21-26_035218,21
istio,800,benchmark1.5-05-21-26_053922,24
istio,800,benchmark1.5-05-21-26_091625,20
istio,800,benchmark1.5-05-21-26_110416,18
istio,800,benchmark1.5-05-21-26_125250,18
istio,800,benchmark1.5-05-21-26_144042,22
istio,800,benchmark1.5-05-21-26_162813,20
istio,800,benchmark1.5-05-21-26_181553,26
istio,900,benchmark1.5-05-20-26_235948,23
istio,900,benchmark1.5-05-21-26_020438,17
istio,900,benchmark1.5-05-21-26_035218,22
istio,900,benchmark1.5-05-21-26_053922,24
istio,900,benchmark1.5-05-21-26_091625,20
istio,900,benchmark1.5-05-21-26_110416,18
istio,900,benchmark1.5-05-21-26_125250,18
istio,900,benchmark1.5-05-21-26_144042,16
istio,900,benchmark1.5-05-21-26_162813,22
istio,900,benchmark1.5-05-21-26_181553,23
istio,1000,benchmark1.5-05-20-26_235948,22
istio,1000,benchmark1.5-05-21-26_020438,19
istio,1000,benchmark1.5-05-21-26_035218,23
istio,1000,benchmark1.5-05-21-26_053922,22
istio,1000,benchmark1.5-05-21-26_091625,23
istio,1000,benchmark1.5-05-21-26_110416,22
istio,1000,benchmark1.5-05-21-26_125250,17
istio,1000,benchmark1.5-05-21-26_144042,21
istio,1000,benchmark1.5-05-21-26_162813,20
istio,1000,benchmark1.5-05-21-26_181553,19
istio,1100,benchmark1.5-05-20-26_235948,24
istio,1100,benchmark1.5-05-21-26_020438,19
istio,1100,benchmark1.5-05-21-26_035218,18
istio,1100,benchmark1.5-05-21-26_053922,20
istio,1100,benchmark1.5-05-21-26_091625,25
istio,1100,benchmark1.5-05-21-26_110416,22
istio,1100,benchmark1.5-05-21-26_125250,18
istio,1100,benchmark1.5-05-21-26_144042,21
istio,1100,benchmark1.5-05-21-26_162813,22
istio,1100,benchmark1.5-05-21-26_181553,19
istio,1200,benchmark1.5-05-20-26_235948,25
istio,1200,benchmark1.5-05-21-26_020438,17
istio,1200,benchmark1.5-05-21-26_035218,25
istio,1200,benchmark1.5-05-21-26_053922,22
istio,1200,benchmark1.5-05-21-26_091625,18
istio,1200,benchmark1.5-05-21-26_110416,18
istio,1200,benchmark1.5-05-21-26_125250,28
istio,1200,benchmark1.5-05-21-26_144042,21
istio,1200,benchmark1.5-05-21-26_162813,20
istio,1200,benchmark1.5-05-21-26_181553,23
