strategy,rps,run,total_pending_pod_seconds
istio,900,benchmark1.5-05-21-26_091625,61
istio,900,benchmark1.5-05-21-26_110416,50
istio,900,benchmark1.5-05-21-26_125250,37
istio,900,benchmark1.5-05-21-26_144042,42
istio,900,benchmark1.5-05-21-26_162813,64
istio,900,benchmark1.5-05-21-26_181553,70
istio,1000,benchmark1.5-05-20-26_235948,59
istio,1000,benchmark1.5-05-21-26_020438,45
istio,1000,benchmark1.5-05-21-26_035218,72
istio,1000,benchmark1.5-05-21-26_053922,63
istio,1000,benchmark1.5-05-21-26_091625,70
istio,1000,benchmark1.5-05-21-26_110416,64
istio,1000,benchmark1.5-05-21-26_125250,44
istio,1000,benchmark1.5-05-21-26_144042,52
istio,1000,benchmark1.5-05-21-26_162813,67
istio,1000,benchmark1.5-05-21-26_181553,50
istio,1100,benchmark1.5-05-20-26_235948,68
istio,1100,benchmark1.5-05-21-26_020438,64
istio,1100,benchmark1.5-05-21-26_035218,38
istio,1100,benchmark1.5-05-21-26_053922,56
istio,1100,benchmark1.5-05-21-26_091625,78
istio,1100,benchmark1.5-05-21-26_110416,60
istio,1100,benchmark1.5-05-21-26_125250,46
istio,1100,benchmark1.5-05-21-26_144042,69
istio,1100,benchmark1.5-05-21-26_162813,61
istio,1100,benchmark1.5-05-21-26_181553,54
istio,1200,benchmark1.5-05-20-26_235948,72
istio,1200,benchmark1.5-05-21-26_020438,51
istio,1200,benchmark1.5-05-21-26_035218,59
istio,1200,benchmark1.5-05-21-26_053922,55
istio,1200,benchmark1.5-05-21-26_091625,48
istio,1200,benchmark1.5-05-21-26_110416,49
istio,1200,benchmark1.5-05-21-26_125250,81
istio,1200,benchmark1.5-05-21-26_144042,63
istio,1200,benchmark1.5-05-21-26_162813,50
istio,1200,benchmark1.5-05-21-26_181553,70
st5-AttUpd,50,benchmark1.5-05-20-26_235948,0
st5-AttUpd,50,benchmark1.5-05-21-26_020438,11
st5-AttUpd,50,benchmark1.5-05-21-26_035218,5
st5-AttUpd,50,benchmark1.5-05-21-26_053922,4
st5-AttUpd,50,benchmark1.5-05-21-26_091625,0
st5-AttUpd,50,benchmark1.5-05-21-26_110416,11
st5-AttUpd,50,benchmark1.5-05-21-26_125250,9
st5-AttUpd,50,benchmark1.5-05-21-26_144042,5
st5-AttUpd,50,benchmark1.5-05-21-26_162813,5
st5-AttUpd,50,benchmark1.5-05-21-26_181553,5
st5-AttUpd,100,benchmark1.5-05-20-26_235948,26
st5-AttUpd,100,benchmark1.5-05-21-26_020438,18
st5-AttUpd,100,benchmark1.5-05-21-26_035218,15
st5-AttUpd,100,benchmark1.5-05-21-26_053922,14
st5-AttUpd,100,benchmark1.5-05-21-26_091625,13
st5-AttUpd,100,benchmark1.5-05-21-26_110416,15
st5-AttUpd,100,benchmark1.5-05-21-26_125250,14
st5-AttUpd,100,benchmark1.5-05-21-26_144042,10
st5-AttUpd,100,benchmark1.5-05-21-26_162813,9
st5-AttUpd,100,benchmark1.5-05-21-26_181553,15
st5-AttUpd,200,benchmark1.5-05-20-26_235948,24
st5-AttUpd,200,benchmark1.5-05-21-26_020438,16
st5-AttUpd,200,benchmark1.5-05-21-26_035218,22
st5-AttUpd,200,benchmark1.5-05-21-26_053922,21
st5-AttUpd,200,benchmark1.5-05-21-26_091625,24
st5-AttUpd,200,benchmark1.5-05-21-26_110416,30
st5-AttUpd,200,benchmark1.5-05-21-26_125250,29
st5-AttUpd,200,benchmark1.5-05-21-26_144042,31
st5-AttUpd,200,benchmark1.5-05-21-26_162813,23
st5-AttUpd,200,benchmark1.5-05-21-26_181553,20
st5-AttUpd,300,benchmark1.5-05-20-26_235948,36
st5-AttUpd,300,benchmark1.5-05-21-26_020438,34
st5-AttUpd,300,benchmark1.5-05-21-26_035218,36
st5-AttUpd,300,benchmark1.5-05-21-26_053922,33
st5-AttUpd,300,benchmark1.5-05-21-26_091625,39
st5-AttUpd,300,benchmark1.5-05-21-26_110416,46
st5-AttUpd,300,benchmark1.5-05-21-26_125250,41
st5-AttUpd,300,benchmark1.5-05-21-26_144042,35
st5-AttUpd,300,benchmark1.5-05-21-26_162813,39
st5-AttUpd,300,benchmark1.5-05-21-26_181553,34
st5-AttUpd,400,benchmark1.5-05-20-26_235948,57
st5-AttUpd,400,benchmark1.5-05-21-26_020438,61
st5-AttUpd,400,benchmark1.5-05-21-26_035218,55
st5-AttUpd,400,benchmark1.5-05-21-26_053922,49
st5-AttUpd,400,benchmark1.5-05-21-26_091625,75
st5-AttUpd,400,benchmark1.5-05-21-26_110416,56
st5-AttUpd,400,benchmark1.5-05-21-26_125250,63
st5-AttUpd,400,benchmark1.5-05-21-26_144042,54
st5-AttUpd,400,benchmark1.5-05-21-26_162813,56
st5-AttUpd,400,benchmark1.5-05-21-26_181553,61
st5-AttUpd,500,benchmark1.5-05-20-26_235948,62
st5-AttUpd,500,benchmark1.5-05-21-26_020438,80
st5-AttUpd,500,benchmark1.5-05-21-26_035218,71
st5-AttUpd,500,benchmark1.5-05-21-26_053922,61
st5-AttUpd,500,benchmark1.5-05-21-26_091625,69
st5-AttUpd,500,benchmark1.5-05-21-26_110416,55
st5-AttUpd,500,benchmark1.5-05-21-26_125250,69
st5-AttUpd,500,benchmark1.5-05-21-26_144042,58
st5-AttUpd,500,benchmark1.5-05-21-26_162813,66
st5-AttUpd,500,benchmark1.5-05-21-26_181553,52
st5-AttUpd,600,benchmark1.5-05-20-26_235948,81
st5-AttUpd,600,benchmark1.5-05-21-26_020438,98
st5-AttUpd,600,benchmark1.5-05-21-26_035218,79
st5-AttUpd,600,benchmark1.5-05-21-26_053922,80
st5-AttUpd,600,benchmark1.5-05-21-26_091625,77
st5-AttUpd,600,benchmark1.5-05-21-26_110416,57
st5-AttUpd,600,benchmark1.5-05-21-26_125250,93
st5-AttUpd,600,benchmark1.5-05-21-26_144042,70
st5-AttUpd,600,benchmark1.5-05-21-26_162813,70
st5-AttUpd,600,benchmark1.5-05-21-26_181553,79
st5-AttUpd,700,benchmark1.5-05-20-26_235948,108
st5-AttUpd,700,benchmark1.5-05-21-26_020438,54
st5-AttUpd,700,benchmark1.5-05-21-26_035218,60
st5-AttUpd,700,benchmark1.5-05-21-26_053922,73
st5-AttUpd,700,benchmark1.5-05-21-26_091625,84
st5-AttUpd,700,benchmark1.5-05-21-26_110416,49
st5-AttUpd,700,benchmark1.5-05-21-26_125250,102
st5-AttUpd,700,benchmark1.5-05-21-26_144042,60
st5-AttUpd,700,benchmark1.5-05-21-26_162813,95
st5-AttUpd,700,benchmark1.5-05-21-26_181553,84
st5-AttUpd,800,benchmark1.5-05-20-26_235948,49
st5-AttUpd,800,benchmark1.5-05-21-26_020438,84
st5-AttUpd,800,benchmark1.5-05-21-26_035218,70
st5-AttUpd,800,benchmark1.5-05-21-26_053922,98
st5-AttUpd,800,benchmark1.5-05-21-26_091625,73
st5-AttUpd,800,benchmark1.5-05-21-26_110416,54
st5-AttUpd,800,benchmark1.5-05-21-26_125250,63
st5-AttUpd,800,benchmark1.5-05-21-26_144042,67
st5-AttUpd,800,benchmark1.5-05-21-26_162813,72
st5-AttUpd,800,benchmark1.5-05-21-26_181553,71
st5-AttUpd,900,benchmark1.5-05-20-26_235948,61
st5-AttUpd,900,benchmark1.5-05-21-26_020438,54
st5-AttUpd,900,benchmark1.5-05-21-26_035218,54
st5-AttUpd,900,benchmark1.5-05-21-26_053922,79
st5-AttUpd,900,benchmark1.5-05-21-26_091625,80
st5-AttUpd,900,benchmark1.5-05-21-26_110416,81
st5-AttUpd,900,benchmark1.5-05-21-26_125250,58
st5-AttUpd,900,benchmark1.5-05-21-26_144042,77
st5-AttUpd,900,benchmark1.5-05-21-26_162813,66
st5-AttUpd,900,benchmark1.5-05-21-26_181553,53
st5-AttUpd,1000,benchmark1.5-05-20-26_235948,63
st5-AttUpd,1000,benchmark1.5-05-21-26_020438,65
st5-AttUpd,1000,benchmark1.5-05-21-26_035218,67
st5-AttUpd,1000,benchmark1.5-05-21-26_053922,67
st5-AttUpd,1000,benchmark1.5-05-21-26_091625,61
st5-AttUpd,1000,benchmark1.5-05-21-26_110416,69
st5-AttUpd,1000,benchmark1.5-05-21-26_125250,58
st5-AttUpd,1000,benchmark1.5-05-21-26_144042,68
st5-AttUpd,1000,benchmark1.5-05-21-26_162813,76
st5-AttUpd,1000,benchmark1.5-05-21-26_181553,71
st5-AttUpd,1100,benchmark1.5-05-20-26_235948,59
st5-AttUpd,1100,benchmark1.5-05-21-26_020438,101
st5-AttUpd,1100,benchmark1.5-05-21-26_035218,86
st5-AttUpd,1100,benchmark1.5-05-21-26_053922,68
st5-AttUpd,1100,benchmark1.5-05-21-26_091625,79
st5-AttUpd,1100,benchmark1.5-05-21-26_110416,71
st5-AttUpd,1100,benchmark1.5-05-21-26_125250,79
st5-AttUpd,1100,benchmark1.5-05-21-26_144042,82
st5-AttUpd,1100,benchmark1.5-05-21-26_162813,56
st5-AttUpd,1100,benchmark1.5-05-21-26_181553,65
st5-AttUpd,1200,benchmark1.5-05-20-26_235948,90
st5-AttUpd,1200,benchmark1.5-05-21-26_020438,65
st5-AttUpd,1200,benchmark1.5-05-21-26_035218,66
st5-AttUpd,1200,benchmark1.5-05-21-26_053922,56
st5-AttUpd,1200,benchmark1.5-05-21-26_091625,89
st5-AttUpd,1200,benchmark1.5-05-21-26_110416,63
st5-AttUpd,1200,benchmark1.5-05-21-26_125250,78
st5-AttUpd,1200,benchmark1.5-05-21-26_144042,99
st5-AttUpd,1200,benchmark1.5-05-21-26_162813,48
st5-AttUpd,1200,benchmark1.5-05-21-26_181553,82
