# Data behind plot_sn_pod_final.pdf/.png -- per-service fleet at the END of each step.
#
# SOURCE     <run-dir>/<strategy>/pods-<rps>-sum.csv, written by
#            summarize_sn_pods.py from the raw pods-<rps>.csv that
#            run-socialnetwork-strategies.sh polls once a second for the whole
#            load step. A pod counts toward `total` only when it is BOTH
#            phase=Running AND ready=True at that sample, so pods that exist but
#            are not yet serving traffic are excluded.
# TRANSFORM  the LAST row of each pods-<rps>-sum.csv, kept split per service
#            instead of summed. This is where the replicas counted by
#            plot_sn_pod_growth actually went.
#            A service appears for a step only when at least one arm ended that
#            step with a non-zero count -- the same filter the figure applies,
#            so the rows here are exactly the bars there.
# UNITS      ready pods, per service.
# LAYOUT     one row per (RPS step, service); one column per strategy.
# rps	service	Istio	Mazu
400	user-mention-service	1	1
400	user-service	1	1
400	user-timeline-redis	1	1
400	user-timeline-service	1	1
600	compose-post-service	1	1
600	home-timeline-redis	1	1
600	home-timeline-service	1	1
600	jaeger	1	1
600	media-frontend	1	1
600	media-service	1	1
600	memcached	6	6
600	mongodb-sharded-configsvr	1	1
600	mongodb-sharded-mongos	3	3
600	mongodb-sharded-shardsvr	6	6
600	nginx-thrift	5	4
600	post-storage-service	1	1
600	social-graph-redis	1	1
600	social-graph-service	1	1
600	social-network-mcrouter	3	3
600	text-service	1	1
600	unique-id-service	1	1
600	url-shorten-service	1	1
600	user-mention-service	1	1
600	user-service	1	1
600	user-timeline-redis	1	1
600	user-timeline-service	1	1
800	compose-post-service	1	1
800	home-timeline-redis	1	1
800	home-timeline-service	1	1
800	jaeger	1	1
800	media-frontend	1	1
800	media-service	1	1
800	memcached	6	6
800	mongodb-sharded-configsvr	1	1
800	mongodb-sharded-mongos	3	3
800	mongodb-sharded-shardsvr	6	6
800	nginx-thrift	6	6
800	post-storage-service	2	2
800	social-graph-redis	1	1
800	social-graph-service	1	1
800	social-network-mcrouter	3	3
800	text-service	1	1
800	unique-id-service	1	1
800	url-shorten-service	1	1
800	user-mention-service	1	1
800	user-service	1	1
800	user-timeline-redis	1	1
800	user-timeline-service	1	1
1000	compose-post-service	1	1
1000	home-timeline-redis	1	1
1000	home-timeline-service	1	1
1000	jaeger	1	1
1000	media-frontend	1	1
1000	media-service	1	1
1000	memcached	6	6
1000	mongodb-sharded-configsvr	1	1
1000	mongodb-sharded-mongos	3	3
1000	mongodb-sharded-shardsvr	6	6
1000	nginx-thrift	8	7
1000	post-storage-service	3	2
1000	social-graph-redis	1	1
1000	social-graph-service	1	1
1000	social-network-mcrouter	3	3
1000	text-service	1	1
1000	unique-id-service	1	1
1000	url-shorten-service	1	1
1000	user-mention-service	1	1
1000	user-service	1	1
1000	user-timeline-redis	1	1
1000	user-timeline-service	1	1
1200	compose-post-service	1	1
1200	home-timeline-redis	1	1
1200	home-timeline-service	1	1
1200	jaeger	1	1
1200	media-frontend	1	1
1200	media-service	1	1
1200	memcached	6	6
1200	mongodb-sharded-configsvr	1	1
1200	mongodb-sharded-mongos	3	3
1200	mongodb-sharded-shardsvr	6	6
1200	nginx-thrift	10	10
1200	post-storage-service	3	3
1200	social-graph-redis	1	1
1200	social-graph-service	1	1
1200	social-network-mcrouter	3	3
1200	text-service	1	1
1200	unique-id-service	1	1
1200	url-shorten-service	1	1
1200	user-mention-service	1	1
1200	user-service	1	1
1200	user-timeline-redis	1	1
1200	user-timeline-service	1	1
1400	compose-post-service	1	1
1400	home-timeline-redis	1	1
1400	home-timeline-service	1	1
1400	jaeger	1	1
1400	media-frontend	1	1
1400	media-service	1	1
1400	memcached	6	6
1400	mongodb-sharded-configsvr	1	1
1400	mongodb-sharded-mongos	3	3
1400	mongodb-sharded-shardsvr	6	6
1400	nginx-thrift	12	10
1400	post-storage-service	4	3
1400	social-graph-redis	1	1
1400	social-graph-service	1	1
1400	social-network-mcrouter	3	3
1400	text-service	1	1
1400	unique-id-service	1	1
1400	url-shorten-service	1	1
1400	user-mention-service	1	1
1400	user-service	1	1
1400	user-timeline-redis	1	1
1400	user-timeline-service	1	1
1600	compose-post-service	1	1
1600	home-timeline-redis	1	1
1600	home-timeline-service	1	1
1600	jaeger	1	1
1600	media-frontend	1	1
1600	media-service	1	1
1600	memcached	6	6
1600	mongodb-sharded-configsvr	1	1
1600	mongodb-sharded-mongos	3	3
1600	mongodb-sharded-shardsvr	6	6
1600	nginx-thrift	12	10
1600	post-storage-service	4	3
1600	social-graph-redis	1	1
1600	social-graph-service	1	1
1600	social-network-mcrouter	3	3
1600	text-service	1	1
1600	unique-id-service	1	1
1600	url-shorten-service	1	1
1600	user-mention-service	1	1
1600	user-service	1	1
1600	user-timeline-redis	1	1
1600	user-timeline-service	1	1
1800	compose-post-service	1	1
1800	home-timeline-redis	1	1
1800	home-timeline-service	1	1
1800	jaeger	1	1
1800	media-frontend	1	1
1800	media-service	1	1
1800	memcached	6	6
1800	mongodb-sharded-configsvr	1	1
1800	mongodb-sharded-mongos	3	3
1800	mongodb-sharded-shardsvr	6	6
1800	nginx-thrift	12	10
1800	post-storage-service	4	3
1800	social-graph-redis	1	1
1800	social-graph-service	1	1
1800	social-network-mcrouter	3	3
1800	text-service	1	1
1800	unique-id-service	1	1
1800	url-shorten-service	1	1
1800	user-mention-service	1	1
1800	user-service	1	1
1800	user-timeline-redis	1	1
1800	user-timeline-service	1	1
2000	compose-post-service	1	1
2000	home-timeline-redis	1	1
2000	home-timeline-service	1	1
2000	jaeger	1	1
2000	media-frontend	1	1
2000	media-service	1	1
2000	memcached	6	6
2000	mongodb-sharded-configsvr	1	1
2000	mongodb-sharded-mongos	3	3
2000	mongodb-sharded-shardsvr	6	6
2000	nginx-thrift	12	10
2000	post-storage-service	4	3
2000	social-graph-redis	1	1
2000	social-graph-service	1	1
2000	social-network-mcrouter	3	3
2000	text-service	1	1
2000	unique-id-service	1	1
2000	url-shorten-service	1	1
2000	user-mention-service	1	1
2000	user-service	1	1
2000	user-timeline-redis	1	1
2000	user-timeline-service	1	1
