# Data behind plot_sn_pod_totals.pdf/.png -- ready pods over time inside each step.
#
# SOURCE     <run-dir>/<strategy>/pods-<rps>-sum.csv, written by
#            summarize_sn_pods.py from the raw pods-<rps>.csv that
#            run-socialnetwork-strategies.sh polls once a second for the whole
#            load step. A pod counts toward `total` only when it is BOTH
#            phase=Running AND ready=True at that sample, so pods that exist but
#            are not yet serving traffic are excluded.
# TRANSFORM  none beyond that per-sample count: one column per (RPS step,
#            strategy), one row per sample, values copied straight from `total`.
#            elapsed_s is the sample index; the poll runs at 1 Hz, so it is also
#            seconds since the step's polling began.
#            Steps do not all have the same number of samples, so short columns
#            are padded with N/A rather than repeating their last value -- a
#            flat tail there would read as a settled fleet that was never
#            observed.
# UNITS      ready pods, summed over every service.
# LAYOUT     one row per elapsed second; one column per (RPS step, strategy).
# elapsed_s	100rps_Istio	100rps_Mazu	200rps_Istio	200rps_Mazu	400rps_Istio	400rps_Mazu	600rps_Istio	600rps_Mazu	800rps_Istio	800rps_Mazu	1000rps_Istio	1000rps_Mazu	1200rps_Istio	1200rps_Mazu	1400rps_Istio	1400rps_Mazu	1600rps_Istio	1600rps_Mazu	1800rps_Istio	1800rps_Mazu	2000rps_Istio	2000rps_Mazu
109	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
110	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
111	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
112	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
113	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
114	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
115	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
116	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
117	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
118	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
119	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
120	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
121	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
122	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
123	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
124	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
125	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
126	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
127	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
128	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
129	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
130	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
131	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
132	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
133	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
134	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
135	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
136	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
137	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
138	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
139	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
140	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
141	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
142	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
143	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
144	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
145	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
146	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
147	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
148	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
149	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
150	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
151	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
152	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
153	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
154	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
155	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
156	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
157	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
158	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
159	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
160	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
161	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
162	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
163	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
164	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
165	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
166	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
167	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
168	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
169	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
170	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
171	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
172	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
173	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
174	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
175	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
176	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
177	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
178	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
179	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
180	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
181	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
182	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
183	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
184	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
185	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
186	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
187	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
188	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
189	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
190	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
191	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
192	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
193	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
194	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
195	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
196	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
197	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
198	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
199	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
200	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
201	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
202	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
203	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
204	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
205	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
206	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
207	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
208	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
209	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
210	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
211	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
212	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
213	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
214	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
215	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
216	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
217	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
218	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
219	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
220	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
221	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
222	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
223	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
224	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
225	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
226	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
227	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
228	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
229	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
230	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
231	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
232	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
233	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
234	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
235	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
236	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
237	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
238	36	36	37	37	N/A	N/A	N/A	N/A	N/A	N/A	45	N/A	N/A	N/A	N/A	47	50	47	N/A	N/A	N/A	N/A
