# Total Running+Ready pods over sweep, aggregated across 10 runs (istio)
# t_sec             mean      stddev     n
  199              8.400       0.490    10
  200              8.400       0.490    10
  201              8.400       0.490    10
  202              8.400       0.490    10
  203              8.400       0.490    10
  204              8.400       0.490    10
  205              8.400       0.490    10
  206              8.400       0.490    10
  207              8.400       0.490    10
  208              8.400       0.490    10
  209              8.400       0.490    10
  210              8.400       0.490    10
  211              8.400       0.490    10
  212              8.400       0.490    10
  213              8.400       0.490    10
  214              8.400       0.490    10
  215              8.400       0.490    10
  216              8.400       0.490    10
  217              8.400       0.490    10
  218              8.400       0.490    10
  219              8.400       0.490    10
  220              8.400       0.490    10
  221              8.400       0.490    10
  222              8.400       0.490    10
  223              8.400       0.490    10
  224              8.400       0.490    10
  225              8.400       0.490    10
  226              8.400       0.490    10
  227              8.400       0.490    10
  228              8.400       0.490    10
  229              8.400       0.490    10
  230              8.400       0.490    10
  231              8.400       0.490    10
  232              8.400       0.490    10
  233              8.400       0.490    10
  234              8.400       0.490    10
  235              8.400       0.490    10
  236              8.400       0.490    10
  237              8.400       0.490    10
  238              8.400       0.490    10
  239              8.444       0.497     9
  240              8.333       0.471     9
  241              8.400       0.490    10
  242              8.400       0.490    10
  243              8.400       0.490    10
  244              8.400       0.490    10
  245              8.400       0.490    10
  246              8.333       0.471     9
  247              8.400       0.490    10
  248              8.400       0.490    10
  249              8.400       0.490    10
  250              8.333       0.471     9
  251              8.400       0.490    10
  252              8.400       0.490    10
  253              8.400       0.490    10
  254              8.400       0.490    10
  255              8.400       0.490    10
  256              8.500       0.500    10
  257              8.500       0.500    10
  258              8.500       0.500    10
  259              8.500       0.500    10
  260              8.500       0.500    10
  261              8.500       0.500    10
  262              8.600       0.663    10
  263              8.600       0.663    10
  264              8.600       0.663    10
  265              8.600       0.663    10
  266              8.600       0.663    10
  267              8.600       0.663    10
  268              8.600       0.663    10
  269              8.600       0.663    10
  270              8.900       0.700    10
  271              9.800       0.872    10
  272              9.900       0.700    10
  273             10.200       0.600    10
  274             10.200       0.600    10
  275             10.200       0.600    10
  276             10.300       0.640    10
  277             10.400       0.800    10
  278             10.400       0.800    10
  279             10.400       0.800    10
  280             10.400       0.800    10
  281             10.400       0.800    10
  282             10.400       0.800    10
  283             10.400       0.800    10
  284             10.400       0.800    10
  285             10.800       0.600    10
  286             11.300       0.640    10
  287             11.500       0.500    10
  288             11.600       0.490    10
  289             11.556       0.497     9
  290             11.600       0.490    10
  291             11.556       0.497     9
  292             11.600       0.490    10
  293             11.600       0.490    10
  294             11.600       0.490    10
  295             11.600       0.490    10
  296             11.600       0.490    10
  297             11.600       0.490    10
  298             11.556       0.497     9
  299             11.600       0.490    10
  300             11.600       0.490    10
  301             11.600       0.490    10
  302             11.600       0.490    10
  303             11.600       0.490    10
  304             11.600       0.490    10
  305             11.600       0.490    10
  306             11.600       0.490    10
  307             11.600       0.490    10
  308             11.600       0.490    10
  309             11.600       0.490    10
  310             11.667       0.471     9
  311             11.600       0.490    10
  312             11.600       0.490    10
  313             11.600       0.490    10
  314             11.600       0.490    10
  315             11.600       0.490    10
  316             11.900       0.831    10
  317             12.000       0.775    10
  318             12.000       0.775    10
  319             12.000       0.775    10
  320             12.000       0.775    10
  321             12.000       0.775    10
  322             12.000       0.775    10
  323             12.000       0.775    10
  324             12.000       0.775    10
  325             12.000       0.775    10
  326             12.000       0.775    10
  327             12.000       0.775    10
  328             12.000       0.775    10
  329             12.000       0.775    10
  330             12.100       0.700    10
  331             12.111       0.737     9
  332             12.100       0.700    10
  333             12.100       0.700    10
  334             12.100       0.700    10
  335             12.100       0.700    10
  336             12.100       0.700    10
  337             12.100       0.700    10
  338             12.100       0.700    10
  339             12.100       0.700    10
  340             12.100       0.700    10
  341             12.100       0.700    10
  342             12.100       0.700    10
  343             12.100       0.700    10
  344             12.100       0.700    10
  345             12.100       0.700    10
  346             12.100       0.700    10
  347             12.100       0.700    10
  348             12.100       0.700    10
  349             12.100       0.700    10
  350             12.100       0.700    10
  351             12.100       0.700    10
  352             12.100       0.700    10
  353             12.111       0.737     9
  354             12.100       0.700    10
  355             12.100       0.700    10
  356             12.100       0.700    10
  357             12.100       0.700    10
  358             12.100       0.700    10
  359             12.100       0.700    10
  360             12.100       0.700    10
  361             12.100       0.700    10
  362             12.100       0.700    10
  363             12.100       0.700    10
  364             12.100       0.700    10
  365             12.000       0.775    10
  366             12.000       0.775    10
  367             12.000       0.775    10
  368             12.000       0.775    10
  369             12.000       0.775    10
  370             12.000       0.775    10
  371             12.000       0.775    10
  372             12.000       0.775    10
  373             12.000       0.775    10
  374             12.000       0.775    10
  375             12.000       0.775    10
  376             12.000       0.775    10
  377             12.200       0.748    10
  378             12.400       0.917    10
  379             12.400       0.917    10
  380             12.400       0.917    10
  381             12.400       0.917    10
  382             12.400       0.917    10
  383             12.500       0.922    10
  384             12.500       0.922    10
  385             12.500       0.922    10
  386             12.500       0.922    10
  387             12.500       0.922    10
  388             12.500       0.922    10
  389             12.500       0.922    10
  390             12.700       0.900    10
  391             13.700       1.269    10
  392             14.400       0.917    10
  393             14.800       1.077    10
  394             14.800       1.077    10
  395             14.800       1.077    10
  396             14.800       1.077    10
  397             15.000       0.894    10
  398             15.100       0.943    10
  399             15.100       0.943    10
  400             15.100       0.943    10
  401             15.100       0.943    10
  402             15.100       0.943    10
  403             15.100       0.943    10
  404             15.100       0.943    10
  405             15.300       0.781    10
  406             16.300       1.005    10
  407             17.000       0.471     9
  408             16.889       1.100     9
  409             17.000       0.894    10
  410             17.000       0.894    10
  411             17.000       0.894    10
  412             17.100       0.831    10
  413             17.200       0.872    10
  414             16.889       0.567     9
  415             17.100       0.831    10
  416             17.100       0.831    10
  417             17.111       0.875     9
  418             17.100       0.831    10
  419             17.100       0.831    10
  420             17.100       0.831    10
  421             17.700       1.100    10
  422             18.200       1.327    10
  423             18.600       1.114    10
  424             18.800       1.327    10
  425             18.800       1.327    10
  426             18.800       1.327    10
  427             19.100       1.221    10
  428             19.200       1.327    10
  429             19.200       1.327    10
  430             19.200       1.327    10
  431             19.200       1.327    10
  432             19.200       1.327    10
  433             19.200       1.327    10
  434             19.200       1.327    10
  435             19.200       1.327    10
  436             19.600       0.800    10
  437             20.100       0.943    10
  438             20.200       0.872    10
  439             20.200       0.872    10
  440             20.200       0.872    10
  441             20.200       0.872    10
  442             20.200       0.872    10
  443             20.200       0.872    10
  444             20.200       0.872    10
  445             20.200       0.872    10
  446             20.200       0.872    10
  447             20.200       0.872    10
  448             20.200       0.872    10
  449             20.200       0.872    10
  450             20.300       0.781    10
  451             20.400       0.800    10
  452             20.400       0.800    10
  453             20.700       1.005    10
  454             20.700       1.005    10
  455             20.700       1.005    10
  456             20.667       1.054     9
  457             20.700       1.005    10
  458             20.700       1.005    10
  459             20.700       1.005    10
  460             20.700       1.005    10
  461             20.700       1.005    10
  462             20.700       1.005    10
  463             20.700       1.005    10
  464             20.700       1.005    10
  465             20.700       1.005    10
  466             21.100       0.539    10
  467             21.222       0.629     9
  468             21.300       0.781    10
  469             21.300       0.781    10
  470             21.300       0.781    10
  471             21.300       0.781    10
  472             21.333       0.816     9
  473             21.300       0.781    10
  474             21.300       0.781    10
  475             21.300       0.781    10
  476             21.300       0.781    10
  477             21.300       0.781    10
  478             21.300       0.781    10
  479             21.444       0.685     9
  480             21.400       0.800    10
  481             21.500       0.806    10
  482             21.500       0.806    10
  483             21.500       0.806    10
  484             21.500       0.806    10
  485             21.500       0.806    10
  486             21.500       0.806    10
  487             21.500       0.806    10
  488             21.600       0.800    10
  489             21.600       0.800    10
  490             21.600       0.800    10
  491             21.600       0.800    10
  492             21.600       0.800    10
  493             21.600       0.800    10
  494             21.600       0.800    10
  495             21.600       0.800    10
  496             21.700       0.781    10
  497             21.900       0.539    10
  498             21.889       0.567     9
  499             21.900       0.539    10
  500             21.900       0.539    10
  501             21.900       0.539    10
  502             21.900       0.539    10
  503             22.000       0.632    10
  504             22.000       0.632    10
  505             22.000       0.632    10
  506             22.000       0.632    10
  507             22.000       0.632    10
  508             22.000       0.632    10
  509             22.000       0.632    10
  510             22.100       0.700    10
  511             22.300       0.640    10
  512             22.600       0.490    10
  513             22.800       0.600    10
  514             22.800       0.600    10
  515             22.800       0.600    10
  516             22.800       0.600    10
  517             22.800       0.600    10
  518             22.778       0.629     9
  519             22.800       0.600    10
  520             22.800       0.600    10
  521             22.800       0.600    10
  522             22.800       0.600    10
  523             22.800       0.600    10
  524             22.800       0.600    10
  525             22.800       0.600    10
  526             23.300       0.781    10
  527             23.400       0.917    10
  528             23.600       1.020    10
  529             23.600       1.020    10
  530             23.600       1.020    10
  531             23.600       1.020    10
  532             23.800       1.077    10
  533             23.800       1.077    10
  534             23.800       1.077    10
  535             23.800       1.077    10
  536             23.800       1.077    10
  537             23.800       1.077    10
  538             23.800       1.077    10
  539             23.800       1.077    10
  540             23.800       1.077    10
  541             23.800       1.077    10
  542             24.100       1.221    10
  543             24.100       1.221    10
  544             24.100       1.221    10
  545             24.100       1.221    10
  546             24.100       1.221    10
  547             24.100       1.221    10
  548             24.100       1.221    10
  549             24.100       1.221    10
  550             24.100       1.221    10
  551             24.100       1.221    10
  552             24.100       1.221    10
  553             24.100       1.221    10
  554             24.100       1.221    10
  555             24.100       1.221    10
  556             24.200       1.249    10
  557             24.700       1.187    10
  558             24.800       1.077    10
  559             24.900       1.044    10
  560             24.900       1.044    10
  561             24.900       1.044    10
  562             24.900       1.044    10
  563             24.900       1.044    10
  564             24.900       1.044    10
  565             24.900       1.044    10
  566             24.900       1.044    10
  567             24.900       1.044    10
  568             24.900       1.044    10
  569             24.778       1.030     9
  570             24.900       1.044    10
  571             25.333       0.471     9
  572             25.200       0.600    10
  573             25.200       0.600    10
  574             25.400       1.020    10
  575             25.400       1.020    10
  576             25.444       1.066     9
  577             25.556       1.066     9
  578             25.600       1.114    10
  579             25.600       1.114    10
  580             25.600       1.114    10
  581             25.600       1.114    10
  582             25.600       1.114    10
  583             25.600       1.114    10
  584             25.600       1.114    10
  585             25.600       1.114    10
  586             25.900       1.044    10
  587             26.300       1.187    10
  588             26.300       1.187    10
  589             26.300       1.187    10
  590             26.300       1.187    10
  591             26.300       1.187    10
  592             26.300       1.187    10
  593             26.300       1.187    10
  594             26.300       1.187    10
  595             26.300       1.187    10
  596             26.300       1.187    10
  597             26.300       1.187    10
  598             26.300       1.187    10
  599             26.300       1.187    10
  600             26.300       1.187    10
  601             26.600       1.200    10
  602             26.700       1.187    10
  603             26.700       1.187    10
  604             26.900       1.044    10
  605             26.900       1.044    10
  606             26.900       1.044    10
  607             26.900       1.044    10
  608             26.900       1.044    10
  609             26.900       1.044    10
  610             26.900       1.044    10
  611             26.900       1.044    10
  612             26.900       1.044    10
  613             26.900       1.044    10
  614             26.900       1.044    10
  615             26.900       1.044    10
  616             27.222       0.629     9
  617             27.100       0.831    10
  618             27.200       0.600    10
  619             27.200       0.600    10
  620             27.200       0.600    10
  621             27.200       0.600    10
  622             27.200       0.600    10
  623             27.200       0.600    10
  624             27.200       0.600    10
  625             27.200       0.600    10
  626             27.200       0.600    10
  627             27.200       0.600    10
  628             27.200       0.600    10
  629             27.200       0.600    10
  630             27.200       0.600    10
  631             27.600       1.020    10
  632             27.600       1.020    10
  633             27.700       0.900    10
  634             27.889       0.875     9
  635             27.800       0.872    10
  636             27.800       0.872    10
  637             27.800       0.872    10
  638             27.900       0.831    10
  639             27.875       0.927     8
  640             27.900       0.831    10
  641             27.900       0.831    10
  642             27.900       0.831    10
  643             27.900       0.831    10
  644             27.900       0.831    10
  645             27.900       0.831    10
  646             28.300       0.900    10
  647             28.300       0.900    10
  648             28.300       0.900    10
  649             28.300       0.900    10
  650             28.300       0.900    10
  651             28.300       0.900    10
  652             28.300       0.900    10
  653             28.300       0.900    10
  654             28.300       0.900    10
  655             28.300       0.900    10
  656             28.111       0.737     9
  657             28.300       0.900    10
  658             28.300       0.900    10
  659             28.300       0.900    10
  660             28.300       0.900    10
  661             28.300       0.900    10
  662             28.300       0.900    10
  663             28.300       0.900    10
  664             28.300       0.900    10
  665             28.300       0.900    10
  666             28.300       0.900    10
  667             28.300       0.900    10
  668             28.300       0.900    10
  669             28.300       0.900    10
  670             28.300       0.900    10
  671             28.300       0.900    10
  672             28.300       0.900    10
  673             28.300       0.900    10
  674             28.300       0.900    10
  675             28.333       0.943     9
  676             28.300       0.900    10
  677             28.300       0.900    10
  678             28.300       0.900    10
  679             28.300       0.900    10
  680             28.300       0.900    10
  681             28.300       0.900    10
  682             28.300       0.900    10
  683             28.300       0.900    10
  684             28.300       0.900    10
  685             28.300       0.900    10
  686             28.300       0.900    10
  687             28.300       0.900    10
  688             28.300       0.900    10
  689             28.300       0.900    10
  690             28.300       0.900    10
  691             28.300       0.900    10
  692             28.300       0.900    10
  693             28.300       0.900    10
  694             28.300       0.900    10
  695             28.300       0.900    10
  696             28.300       0.900    10
  697             28.300       0.900    10
  698             28.300       0.900    10
  699             28.300       0.900    10
  700             28.300       0.900    10
  701             28.300       0.900    10
  702             28.300       0.900    10
  703             28.300       0.900    10
  704             28.300       0.900    10
  705             28.300       0.900    10
  706             28.300       0.900    10
  707             28.300       0.900    10
  708             28.300       0.900    10
  709             28.300       0.900    10
  710             28.300       0.900    10
  711             28.300       0.900    10
  712             28.300       0.900    10
  713             28.300       0.900    10
  714             28.300       0.900    10
  715             28.300       0.900    10
  716             28.300       0.900    10
  717             28.300       0.900    10
  718             28.300       0.900    10
  719             28.300       0.900    10
  720             28.300       0.900    10
  721             28.300       0.900    10
  722             28.300       0.900    10
  723             28.300       0.900    10
  724             28.333       0.943     9
  725             28.300       0.900    10
  726             28.111       0.737     9
  727             28.300       0.900    10
  728             28.300       0.900    10
  729             28.333       0.943     9
  730             28.300       0.900    10
  731             28.333       0.943     9
  732             28.300       0.900    10
  733             28.300       0.900    10
  734             28.300       0.900    10
  735             28.300       0.900    10
  736             28.300       0.900    10
  737             28.300       0.900    10
  738             28.300       0.900    10
  739             28.300       0.900    10
  740             28.300       0.900    10
  741             28.300       0.900    10
  742             28.300       0.900    10
  743             28.300       0.900    10
  744             28.300       0.900    10
  745             28.300       0.900    10
  746             28.300       0.900    10
  747             28.300       0.900    10
  748             28.300       0.900    10
  749             28.300       0.900    10
  750             28.300       0.900    10
  751             28.300       0.900    10
  752             28.300       0.900    10
  753             28.300       0.900    10
  754             28.300       0.900    10
  755             28.300       0.900    10
  756             28.300       0.900    10
  757             28.300       0.900    10
  758             28.300       0.900    10
  759             28.300       0.900    10
  760             28.300       0.900    10
  761             28.300       0.900    10
  762             28.300       0.900    10
  763             28.300       0.900    10
  764             28.300       0.900    10
  765             28.300       0.900    10
  766             28.300       0.900    10
  767             28.300       0.900    10
  768             28.300       0.900    10
  769             28.444       0.831     9
  770             28.300       0.900    10
  771             28.300       0.900    10
  772             28.300       0.900    10
  773             28.300       0.900    10
  774             28.300       0.900    10
  775             28.300       0.900    10
  776             28.300       0.900    10
  777             28.300       0.900    10
  778             28.300       0.900    10
  779             28.300       0.900    10
  780             28.300       0.900    10
  781             28.300       0.900    10
  782             28.300       0.900    10
  783             28.300       0.900    10
  784             28.300       0.900    10
  785             28.300       0.900    10
  786             28.300       0.900    10
  787             28.300       0.900    10
  788             28.300       0.900    10
  789             28.300       0.900    10
  790             28.333       0.943     9
  791             28.300       0.900    10
  792             28.300       0.900    10
  793             28.300       0.900    10
  794             28.300       0.900    10
  795             28.300       0.900    10
  796             28.300       0.900    10
  797             28.333       0.943     9
  798             28.300       0.900    10
  799             28.333       0.943     9
  800             28.300       0.900    10
  801             28.300       0.900    10
  802             28.300       0.900    10
  803             28.300       0.900    10
  804             28.300       0.900    10
  805             28.300       0.900    10
  806             28.300       0.900    10
  807             28.111       0.737     9
  808             28.300       0.900    10
  809             28.300       0.900    10
  810             28.300       0.900    10
  811             28.300       0.900    10
  812             28.300       0.900    10
  813             28.300       0.900    10
  814             28.300       0.900    10
  815             28.300       0.900    10
  816             28.300       0.900    10
  817             28.300       0.900    10
  818             28.300       0.900    10
  819             28.300       0.900    10
  820             28.300       0.900    10
  821             28.300       0.900    10
  822             28.300       0.900    10
  823             28.300       0.900    10
  824             28.300       0.900    10
  825             28.300       0.900    10
  826             28.333       0.943     9
  827             28.300       0.900    10
  828             28.300       0.900    10
  829             28.300       0.900    10
  830             28.300       0.900    10
  831             28.300       0.900    10
  832             28.300       0.900    10
  833             28.300       0.900    10
  834             28.300       0.900    10
  835             28.300       0.900    10
  836             28.300       0.900    10
  837             28.300       0.900    10
  838             28.300       0.900    10
  839             28.300       0.900    10
  840             28.300       0.900    10
  841             28.300       0.900    10
  842             28.300       0.900    10
  843             28.300       0.900    10
  844             28.300       0.900    10
  845             28.300       0.900    10
  846             28.300       0.900    10
  847             28.300       0.900    10
  848             28.300       0.900    10
  849             28.300       0.900    10
  850             28.300       0.900    10
  851             28.300       0.900    10
  852             28.300       0.900    10
  853             28.300       0.900    10
  854             28.300       0.900    10
  855             28.300       0.900    10
  856             28.300       0.900    10
  857             28.300       0.900    10
  858             28.400       0.917    10
  859             28.400       0.917    10
  860             28.400       0.917    10
  861             28.400       0.917    10
  862             28.400       0.917    10
  863             28.500       0.922    10
  864             28.500       0.922    10
  865             28.500       0.922    10
  866             28.500       0.922    10
  867             28.500       0.922    10
  868             28.500       0.922    10
  869             28.500       0.922    10
  870             28.500       0.922    10
  871             28.500       0.922    10
  872             29.100       1.446    10
  873             29.400       1.200    10
  874             29.667       1.155     9
  875             29.556       1.066     9
  876             29.700       1.100    10
  877             29.778       1.133     9
  878             29.800       1.077    10
  879             29.800       1.077    10
  880             29.800       1.077    10
  881             29.889       1.100     9
  882             29.800       1.077    10
  883             29.800       1.077    10
  884             29.800       1.077    10
  885             29.800       1.077    10
  886             29.800       1.077    10
  887             30.200       0.980    10
  888             30.400       1.200    10
  889             30.400       1.200    10
  890             30.400       1.200    10
  891             30.400       1.200    10
  892             30.400       1.200    10
  893             30.400       1.200    10
  894             30.400       1.200    10
  895             30.400       1.200    10
  896             30.400       1.200    10
  897             30.400       1.200    10
  898             30.400       1.200    10
  899             30.400       1.200    10
  900             30.400       1.200    10
  901             30.400       1.200    10
  902             30.400       1.200    10
  903             30.400       1.200    10
  904             30.400       1.200    10
  905             30.400       1.200    10
  906             30.400       1.200    10
  907             30.400       1.200    10
  908             30.400       1.200    10
  909             30.400       1.200    10
  910             30.400       1.200    10
  911             30.400       1.200    10
  912             30.400       1.200    10
  913             30.400       1.200    10
  914             30.400       1.200    10
  915             30.400       1.200    10
  916             30.400       1.200    10
  917             30.667       1.333     9
  918             30.500       1.360    10
  919             30.500       1.360    10
  920             30.500       1.360    10
  921             30.500       1.360    10
  922             30.500       1.360    10
  923             30.500       1.360    10
  924             30.500       1.360    10
  925             30.600       1.428    10
  926             30.600       1.428    10
  927             30.600       1.428    10
  928             30.600       1.428    10
  929             30.600       1.428    10
  930             30.600       1.428    10
  931             30.700       1.418    10
  932             30.700       1.418    10
  933             30.700       1.418    10
  934             30.700       1.418    10
  935             30.700       1.418    10
  936             30.700       1.418    10
  937             30.700       1.418    10
  938             30.700       1.418    10
  939             30.778       1.474     9
  940             30.700       1.418    10
  941             30.700       1.418    10
  942             30.700       1.418    10
  943             30.700       1.418    10
  944             30.700       1.418    10
  945             30.700       1.418    10
  946             30.700       1.418    10
  947             30.700       1.418    10
  948             30.700       1.418    10
  949             30.700       1.418    10
  950             30.700       1.418    10
  951             30.778       1.474     9
  952             30.778       1.474     9
  953             30.700       1.418    10
  954             30.700       1.418    10
  955             30.444       1.257     9
  956             30.600       1.497    10
  957             30.600       1.497    10
  958             30.600       1.497    10
  959             30.600       1.497    10
  960             30.600       1.497    10
  961             30.600       1.497    10
  962             30.600       1.497    10
  963             30.600       1.497    10
  964             30.600       1.497    10
  965             30.500       1.360    10
  966             30.500       1.360    10
  967             30.400       1.497    10
  968             30.400       1.497    10
  969             30.400       1.497    10
  970             30.400       1.497    10
  971             30.400       1.497    10
  972             30.400       1.497    10
  973             30.333       1.563     9
  974             30.400       1.497    10
  975             30.400       1.497    10
  976             30.400       1.497    10
  977             30.400       1.497    10
  978             30.400       1.497    10
  979             30.300       1.187    10
  980             30.300       1.187    10
  981             30.300       1.187    10
  982             30.300       1.187    10
  983             30.300       1.187    10
  984             30.300       1.187    10
  985             30.300       1.187    10
  986             30.300       1.187    10
  987             30.300       1.187    10
  988             30.300       1.187    10
  989             30.300       1.187    10
  990             30.300       1.187    10
  991             30.300       1.187    10
  992             30.300       1.187    10
  993             30.300       1.187    10
  994             30.500       1.118    10
  995             30.400       1.020    10
  996             30.400       1.020    10
  997             30.400       1.020    10
  998             30.400       1.020    10
  999             30.400       1.020    10
  1000            30.500       1.025    10
  1001            30.500       1.025    10
  1002            30.500       1.025    10
  1003            30.500       1.025    10
  1004            30.500       1.025    10
  1005            30.500       1.025    10
  1006            30.500       1.025    10
  1007            30.500       1.025    10
  1008            30.700       1.100    10
  1009            30.700       1.100    10
  1010            30.800       1.077    10
  1011            30.800       1.077    10
  1012            30.800       1.077    10
  1013            30.800       1.077    10
  1014            30.800       1.077    10
  1015            30.800       1.077    10
  1016            30.800       1.077    10
  1017            30.800       1.077    10
  1018            30.800       1.077    10
  1019            30.778       1.133     9
  1020            30.375       0.696     8
  1021            30.800       1.077    10
  1022            30.800       1.077    10
  1023            30.800       1.077    10
  1024            30.778       1.133     9
  1025            30.800       1.077    10
  1026            30.700       0.900    10
  1027            30.700       0.900    10
  1028            30.700       0.900    10
  1029            30.700       0.900    10
  1030            30.700       0.900    10
  1031            30.700       0.900    10
  1032            30.700       0.900    10
  1033            30.700       0.900    10
  1034            30.700       0.900    10
  1035            30.700       0.900    10
  1036            30.700       0.900    10
  1037            30.700       0.900    10
  1038            30.700       0.900    10
  1039            30.700       0.900    10
  1040            30.700       0.900    10
  1041            30.700       0.900    10
  1042            30.700       0.900    10
  1043            30.700       0.900    10
  1044            30.700       0.900    10
  1045            30.700       0.900    10
  1046            30.700       0.900    10
  1047            30.700       0.900    10
  1048            30.700       0.900    10
  1049            30.700       0.900    10
  1050            30.700       0.900    10
  1051            30.700       0.900    10
  1052            30.700       0.900    10
  1053            30.700       0.900    10
  1054            30.700       0.900    10
  1055            30.700       0.900    10
  1056            30.700       0.900    10
  1057            30.700       0.900    10
  1058            30.700       0.900    10
  1059            30.700       0.900    10
  1060            30.700       0.900    10
  1061            30.778       0.916     9
  1062            30.700       0.900    10
  1063            30.700       0.900    10
