# Total Running+Ready pods over sweep, aggregated across 10 runs (st5-AttUpd)
# t_sec             mean      stddev     n
  198              8.100       0.700    10
  199              8.100       0.700    10
  200              8.100       0.700    10
  201              8.100       0.700    10
  202              8.100       0.700    10
  203              8.100       0.700    10
  204              8.100       0.700    10
  205              8.100       0.700    10
  206              8.100       0.700    10
  207              8.100       0.700    10
  208              8.100       0.700    10
  209              8.100       0.700    10
  210              8.100       0.700    10
  211              8.100       0.700    10
  212              8.100       0.700    10
  213              8.100       0.700    10
  214              8.100       0.700    10
  215              8.100       0.700    10
  216              8.100       0.700    10
  217              8.100       0.700    10
  218              8.100       0.700    10
  219              8.100       0.700    10
  220              8.100       0.700    10
  221              8.100       0.700    10
  222              8.100       0.700    10
  223              8.100       0.700    10
  224              8.100       0.700    10
  225              8.100       0.700    10
  226              8.100       0.700    10
  227              8.100       0.700    10
  228              8.100       0.700    10
  229              8.100       0.700    10
  230              8.100       0.700    10
  231              8.100       0.700    10
  232              8.100       0.700    10
  233              8.100       0.700    10
  234              8.100       0.700    10
  235              8.100       0.700    10
  236              8.100       0.700    10
  237              8.100       0.700    10
  238              8.100       0.700    10
  239              8.100       0.700    10
  240              8.111       0.737     9
  241              8.100       0.700    10
  242              8.100       0.700    10
  243              8.100       0.700    10
  244              8.111       0.737     9
  245              8.100       0.700    10
  246              8.100       0.700    10
  247              8.100       0.700    10
  248              8.100       0.700    10
  249              8.100       0.700    10
  250              8.100       0.700    10
  251              8.100       0.700    10
  252              8.100       0.700    10
  253              8.100       0.700    10
  254              8.100       0.700    10
  255              8.200       0.748    10
  256              8.300       0.781    10
  257              8.500       0.922    10
  258              8.500       0.922    10
  259              8.500       0.922    10
  260              8.500       0.922    10
  261              8.500       0.922    10
  262              8.500       0.922    10
  263              8.500       0.922    10
  264              8.500       0.922    10
  265              8.500       0.922    10
  266              8.500       0.922    10
  267              8.500       0.922    10
  268              8.500       0.922    10
  269              8.600       1.114    10
  270              8.900       1.136    10
  271              9.600       1.428    10
  272             10.100       1.044    10
  273             10.100       1.044    10
  274             10.100       1.044    10
  275             10.000       1.054     9
  276             10.100       1.044    10
  277             10.100       1.044    10
  278             10.100       1.044    10
  279             10.100       1.044    10
  280             10.000       1.054     9
  281             10.100       1.044    10
  282             10.100       1.044    10
  283             10.100       1.044    10
  284             10.100       1.044    10
  285             10.400       0.800    10
  286             10.600       0.800    10
  287             10.900       0.539    10
  288             11.000       0.447    10
  289             11.100       0.539    10
  290             11.100       0.539    10
  291             11.100       0.539    10
  292             11.100       0.539    10
  293             11.100       0.539    10
  294             11.100       0.539    10
  295             11.100       0.539    10
  296             11.100       0.539    10
  297             11.000       0.471     9
  298             11.100       0.539    10
  299             11.100       0.539    10
  300             11.100       0.539    10
  301             11.100       0.539    10
  302             11.100       0.539    10
  303             11.100       0.539    10
  304             11.100       0.539    10
  305             11.100       0.539    10
  306             11.100       0.539    10
  307             11.100       0.539    10
  308             11.100       0.539    10
  309             11.100       0.539    10
  310             11.100       0.539    10
  311             11.100       0.539    10
  312             11.100       0.539    10
  313             11.111       0.567     9
  314             11.100       0.539    10
  315             11.200       0.748    10
  316             11.300       0.781    10
  317             11.300       0.781    10
  318             11.300       0.781    10
  319             11.300       0.781    10
  320             11.300       0.781    10
  321             11.300       0.781    10
  322             11.300       0.781    10
  323             11.300       0.781    10
  324             11.300       0.781    10
  325             11.300       0.781    10
  326             11.300       0.781    10
  327             11.300       0.781    10
  328             11.300       0.781    10
  329             11.300       0.781    10
  330             11.300       0.781    10
  331             11.400       0.800    10
  332             11.400       0.800    10
  333             11.500       0.806    10
  334             11.500       0.806    10
  335             11.500       0.806    10
  336             11.500       0.806    10
  337             11.500       0.806    10
  338             11.500       0.806    10
  339             11.500       0.806    10
  340             11.500       0.806    10
  341             11.500       0.806    10
  342             11.500       0.806    10
  343             11.500       0.806    10
  344             11.600       0.663    10
  345             11.600       0.663    10
  346             11.556       0.685     9
  347             11.500       0.671    10
  348             11.500       0.671    10
  349             11.500       0.671    10
  350             11.500       0.671    10
  351             11.500       0.671    10
  352             11.500       0.671    10
  353             11.500       0.671    10
  354             11.500       0.671    10
  355             11.500       0.671    10
  356             11.500       0.671    10
  357             11.500       0.671    10
  358             11.556       0.685     9
  359             11.500       0.671    10
  360             11.500       0.671    10
  361             11.500       0.671    10
  362             11.500       0.671    10
  363             11.500       0.671    10
  364             11.500       0.671    10
  365             11.625       0.696     8
  366             11.500       0.671    10
  367             11.500       0.671    10
  368             11.500       0.671    10
  369             11.500       0.671    10
  370             11.500       0.671    10
  371             11.500       0.671    10
  372             11.500       0.671    10
  373             11.500       0.671    10
  374             11.500       0.671    10
  375             11.500       0.671    10
  376             11.500       0.671    10
  377             11.500       0.671    10
  378             11.500       0.671    10
  379             11.500       0.671    10
  380             11.500       0.671    10
  381             11.500       0.671    10
  382             11.500       0.671    10
  383             11.500       0.671    10
  384             11.500       0.671    10
  385             11.500       0.671    10
  386             11.500       0.671    10
  387             11.500       0.671    10
  388             11.500       0.671    10
  389             11.500       0.671    10
  390             11.900       1.136    10
  391             12.800       1.470    10
  392             13.600       1.200    10
  393             14.200       0.872    10
  394             14.200       0.872    10
  395             14.200       0.872    10
  396             14.200       0.872    10
  397             14.200       0.872    10
  398             14.200       0.872    10
  399             14.200       0.872    10
  400             14.200       0.872    10
  401             14.200       0.872    10
  402             14.200       0.872    10
  403             14.200       0.872    10
  404             14.300       1.100    10
  405             14.500       1.118    10
  406             15.100       1.136    10
  407             16.111       0.567     9
  408             16.400       0.490    10
  409             16.300       0.640    10
  410             16.300       0.640    10
  411             16.300       0.640    10
  412             16.400       0.490    10
  413             16.400       0.490    10
  414             16.400       0.490    10
  415             16.400       0.490    10
  416             16.400       0.490    10
  417             16.400       0.490    10
  418             16.400       0.490    10
  419             16.500       0.671    10
  420             16.600       0.917    10
  421             17.000       1.265    10
  422             16.900       1.300    10
  423             17.100       1.446    10
  424             16.778       1.227     9
  425             17.100       1.513    10
  426             17.100       1.513    10
  427             17.200       1.600    10
  428             17.200       1.600    10
  429             17.200       1.600    10
  430             17.200       1.600    10
  431             17.200       1.600    10
  432             17.200       1.600    10
  433             17.200       1.600    10
  434             17.300       1.792    10
  435             17.700       1.900    10
  436             18.100       1.921    10
  437             18.300       1.735    10
  438             18.800       1.939    10
  439             18.800       1.939    10
  440             18.800       1.939    10
  441             18.800       1.939    10
  442             18.800       1.939    10
  443             18.800       1.939    10
  444             18.444       1.707     9
  445             18.800       1.939    10
  446             18.800       1.939    10
  447             18.800       1.939    10
  448             18.800       1.939    10
  449             18.667       2.000     9
  450             19.100       1.921    10
  451             19.700       1.487    10
  452             20.500       0.922    10
  453             20.700       1.005    10
  454             20.800       1.166    10
  455             20.700       1.005    10
  456             20.700       1.005    10
  457             20.700       1.005    10
  458             20.800       1.166    10
  459             20.800       1.166    10
  460             20.800       1.166    10
  461             20.800       1.166    10
  462             20.800       1.166    10
  463             20.800       1.166    10
  464             20.667       1.155     9
  465             20.900       1.136    10
  466             21.400       1.114    10
  467             21.400       1.114    10
  468             21.700       1.187    10
  469             21.800       1.077    10
  470             21.800       1.077    10
  471             21.800       1.077    10
  472             21.800       1.077    10
  473             21.800       1.077    10
  474             21.800       1.077    10
  475             21.800       1.077    10
  476             21.800       1.077    10
  477             21.800       1.077    10
  478             21.800       1.077    10
  479             21.778       1.133     9
  480             21.800       1.077    10
  481             21.900       0.943    10
  482             21.900       0.943    10
  483             21.900       0.943    10
  484             21.900       0.943    10
  485             21.900       0.943    10
  486             21.900       0.943    10
  487             21.900       0.943    10
  488             21.900       0.943    10
  489             21.900       0.943    10
  490             21.900       0.943    10
  491             21.900       0.943    10
  492             21.900       0.943    10
  493             21.900       0.943    10
  494             21.900       0.943    10
  495             21.900       0.943    10
  496             22.200       0.872    10
  497             22.400       1.200    10
  498             22.400       1.200    10
  499             22.400       1.200    10
  500             22.400       1.200    10
  501             22.400       1.200    10
  502             22.400       1.200    10
  503             22.400       1.200    10
  504             22.400       1.200    10
  505             22.400       1.200    10
  506             22.400       1.200    10
  507             22.400       1.200    10
  508             22.400       1.200    10
  509             22.400       1.200    10
  510             22.600       1.200    10
  511             22.900       1.375    10
  512             23.556       1.165     9
  513             23.300       1.345    10
  514             23.400       1.281    10
  515             23.400       1.281    10
  516             23.400       1.281    10
  517             23.400       1.281    10
  518             23.400       1.281    10
  519             23.400       1.281    10
  520             23.400       1.281    10
  521             23.444       1.343     9
  522             23.400       1.281    10
  523             23.400       1.281    10
  524             23.400       1.281    10
  525             23.500       1.285    10
  526             23.600       1.281    10
  527             23.900       1.300    10
  528             24.300       1.269    10
  529             23.889       0.875     9
  530             24.200       1.249    10
  531             24.200       1.249    10
  532             24.300       1.269    10
  533             24.300       1.269    10
  534             24.300       1.269    10
  535             24.300       1.269    10
  536             24.300       1.269    10
  537             24.300       1.269    10
  538             24.300       1.269    10
  539             24.300       1.269    10
  540             24.300       1.269    10
  541             24.667       1.633     9
  542             24.700       1.552    10
  543             24.900       1.578    10
  544             24.900       1.578    10
  545             24.900       1.578    10
  546             24.900       1.578    10
  547             24.900       1.578    10
  548             24.900       1.578    10
  549             24.900       1.578    10
  550             24.900       1.578    10
  551             24.900       1.578    10
  552             24.900       1.578    10
  553             24.900       1.578    10
  554             24.900       1.578    10
  555             24.900       1.578    10
  556             25.100       1.513    10
  557             25.300       1.418    10
  558             25.400       1.356    10
  559             25.500       1.285    10
  560             25.500       1.285    10
  561             25.500       1.285    10
  562             25.500       1.285    10
  563             25.500       1.285    10
  564             25.500       1.285    10
  565             25.500       1.285    10
  566             25.500       1.285    10
  567             25.500       1.285    10
  568             25.500       1.285    10
  569             25.444       1.343     9
  570             25.700       1.269    10
  571             25.900       1.446    10
  572             26.300       1.345    10
  573             26.400       1.281    10
  574             26.400       1.281    10
  575             26.400       1.281    10
  576             26.400       1.281    10
  577             26.400       1.281    10
  578             26.400       1.281    10
  579             26.400       1.281    10
  580             26.400       1.281    10
  581             26.400       1.281    10
  582             26.400       1.281    10
  583             26.400       1.281    10
  584             26.400       1.281    10
  585             26.500       1.360    10
  586             26.700       1.269    10
  587             26.900       1.300    10
  588             27.000       1.265    10
  589             27.000       1.265    10
  590             27.000       1.265    10
  591             27.000       1.265    10
  592             27.000       1.265    10
  593             27.000       1.265    10
  594             27.000       1.265    10
  595             27.000       1.333     9
  596             27.000       1.265    10
  597             27.000       1.265    10
  598             27.000       1.265    10
  599             27.000       1.265    10
  600             27.000       1.265    10
  601             27.000       1.265    10
  602             27.100       1.136    10
  603             27.200       1.077    10
  604             27.200       1.077    10
  605             27.200       1.077    10
  606             27.222       1.133     9
  607             27.200       1.077    10
  608             27.200       1.077    10
  609             27.111       1.100     9
  610             27.200       1.077    10
  611             27.200       1.077    10
  612             27.200       1.077    10
  613             27.200       1.077    10
  614             27.200       1.077    10
  615             27.200       1.077    10
  616             27.300       1.100    10
  617             27.600       1.114    10
  618             27.600       1.114    10
  619             27.600       1.114    10
  620             27.600       1.114    10
  621             27.600       1.114    10
  622             27.600       1.114    10
  623             27.600       1.114    10
  624             27.600       1.114    10
  625             27.444       1.066     9
  626             27.600       1.114    10
  627             27.600       1.114    10
  628             27.600       1.114    10
  629             27.600       1.114    10
  630             27.600       1.114    10
  631             27.700       1.269    10
  632             27.800       1.327    10
  633             28.000       1.342    10
  634             28.200       1.400    10
  635             28.200       1.400    10
  636             28.200       1.400    10
  637             28.200       1.400    10
  638             28.444       1.257     9
  639             28.200       1.400    10
  640             28.200       1.400    10
  641             28.200       1.400    10
  642             28.200       1.400    10
  643             28.200       1.400    10
  644             28.200       1.400    10
  645             28.300       1.487    10
  646             28.400       1.562    10
  647             28.500       1.432    10
  648             28.700       1.345    10
  649             28.700       1.345    10
  650             28.700       1.345    10
  651             28.700       1.345    10
  652             28.700       1.345    10
  653             28.700       1.345    10
  654             28.700       1.345    10
  655             28.700       1.345    10
  656             28.700       1.345    10
  657             28.700       1.345    10
  658             28.700       1.345    10
  659             28.700       1.345    10
  660             28.700       1.345    10
  661             28.700       1.345    10
  662             28.700       1.345    10
  663             28.700       1.345    10
  664             28.700       1.345    10
  665             28.700       1.345    10
  666             28.700       1.345    10
  667             28.700       1.345    10
  668             28.700       1.345    10
  669             28.700       1.345    10
  670             28.778       1.397     9
  671             28.700       1.345    10
  672             28.700       1.345    10
  673             28.700       1.345    10
  674             28.700       1.345    10
  675             28.700       1.345    10
  676             28.700       1.345    10
  677             28.556       1.343     9
  678             28.700       1.345    10
  679             28.700       1.345    10
  680             28.700       1.345    10
  681             28.700       1.345    10
  682             28.700       1.345    10
  683             28.700       1.345    10
  684             28.778       1.397     9
  685             28.700       1.345    10
  686             28.700       1.345    10
  687             28.700       1.345    10
  688             28.700       1.345    10
  689             28.700       1.345    10
  690             28.700       1.345    10
  691             28.700       1.345    10
  692             28.700       1.345    10
  693             28.700       1.345    10
  694             28.700       1.345    10
  695             28.700       1.345    10
  696             28.700       1.345    10
  697             28.700       1.345    10
  698             28.700       1.345    10
  699             28.700       1.345    10
  700             28.700       1.345    10
  701             28.700       1.345    10
  702             28.700       1.345    10
  703             28.700       1.345    10
  704             28.700       1.345    10
  705             28.700       1.345    10
  706             28.700       1.345    10
  707             28.700       1.345    10
  708             28.556       1.343     9
  709             28.700       1.345    10
  710             28.700       1.345    10
  711             28.700       1.345    10
  712             28.700       1.345    10
  713             28.700       1.345    10
  714             28.700       1.345    10
  715             28.700       1.345    10
  716             28.700       1.345    10
  717             28.700       1.345    10
  718             28.700       1.345    10
  719             28.700       1.345    10
  720             28.700       1.345    10
  721             28.700       1.345    10
  722             28.700       1.345    10
  723             28.700       1.345    10
  724             28.889       1.286     9
  725             28.700       1.345    10
  726             28.700       1.345    10
  727             28.700       1.345    10
  728             28.700       1.345    10
  729             28.700       1.345    10
  730             28.700       1.345    10
  731             28.700       1.345    10
  732             28.700       1.345    10
  733             28.700       1.345    10
  734             28.700       1.345    10
  735             28.700       1.345    10
  736             28.700       1.345    10
  737             28.700       1.345    10
  738             28.700       1.345    10
  739             28.700       1.345    10
  740             28.700       1.345    10
  741             28.700       1.345    10
  742             28.700       1.345    10
  743             28.700       1.345    10
  744             28.700       1.345    10
  745             28.700       1.345    10
  746             28.700       1.345    10
  747             28.700       1.345    10
  748             28.700       1.345    10
  749             28.700       1.345    10
  750             28.700       1.345    10
  751             28.700       1.345    10
  752             28.700       1.345    10
  753             28.700       1.345    10
  754             28.700       1.345    10
  755             28.700       1.345    10
  756             28.700       1.345    10
  757             28.556       1.343     9
  758             28.700       1.345    10
  759             28.700       1.345    10
  760             28.700       1.345    10
  761             28.667       1.414     9
  762             28.667       1.414     9
  763             28.700       1.345    10
  764             28.700       1.345    10
  765             28.700       1.345    10
  766             28.700       1.345    10
  767             28.700       1.345    10
  768             28.700       1.345    10
  769             28.700       1.345    10
  770             28.700       1.345    10
  771             28.700       1.345    10
  772             28.700       1.345    10
  773             28.700       1.345    10
  774             28.700       1.345    10
  775             28.700       1.345    10
  776             28.700       1.345    10
  777             28.700       1.345    10
  778             28.700       1.345    10
  779             28.556       1.343     9
  780             28.700       1.345    10
  781             28.700       1.345    10
  782             28.700       1.345    10
  783             28.700       1.345    10
  784             28.700       1.345    10
  785             28.700       1.345    10
  786             28.700       1.345    10
  787             28.700       1.345    10
  788             28.700       1.345    10
  789             28.700       1.345    10
  790             28.700       1.345    10
  791             29.000       1.054     9
  792             28.700       1.345    10
  793             28.700       1.345    10
  794             28.700       1.345    10
  795             28.700       1.345    10
  796             28.700       1.345    10
  797             28.700       1.345    10
  798             28.700       1.345    10
  799             28.700       1.345    10
  800             28.700       1.345    10
  801             28.700       1.345    10
  802             28.700       1.345    10
  803             28.700       1.345    10
  804             28.700       1.345    10
  805             28.700       1.345    10
  806             28.700       1.345    10
  807             28.700       1.345    10
  808             28.700       1.345    10
  809             28.700       1.345    10
  810             28.700       1.345    10
  811             28.700       1.345    10
  812             28.700       1.345    10
  813             28.700       1.345    10
  814             28.700       1.345    10
  815             28.700       1.345    10
  816             28.700       1.345    10
  817             28.700       1.345    10
  818             28.700       1.345    10
  819             28.700       1.345    10
  820             28.700       1.345    10
  821             28.700       1.345    10
  822             28.778       1.397     9
  823             28.700       1.345    10
  824             28.700       1.345    10
  825             28.700       1.345    10
  826             28.700       1.345    10
  827             28.700       1.345    10
  828             28.556       1.343     9
  829             28.700       1.345    10
  830             28.700       1.345    10
  831             28.700       1.345    10
  832             28.700       1.345    10
  833             28.700       1.345    10
  834             28.778       1.397     9
  835             28.700       1.345    10
  836             28.700       1.345    10
  837             28.700       1.345    10
  838             28.700       1.345    10
  839             28.700       1.345    10
  840             28.700       1.345    10
  841             28.700       1.345    10
  842             28.700       1.345    10
  843             28.700       1.345    10
  844             28.700       1.345    10
  845             28.700       1.345    10
  846             28.700       1.345    10
  847             28.700       1.345    10
  848             28.700       1.345    10
  849             28.700       1.345    10
  850             28.700       1.345    10
  851             28.700       1.345    10
  852             28.700       1.345    10
  853             28.700       1.345    10
  854             28.700       1.345    10
  855             28.700       1.345    10
  856             28.800       1.400    10
  857             28.800       1.400    10
  858             28.800       1.400    10
  859             28.800       1.400    10
  860             28.800       1.400    10
  861             28.800       1.400    10
  862             28.800       1.400    10
  863             28.800       1.400    10
  864             28.800       1.400    10
  865             28.800       1.400    10
  866             28.667       1.414     9
  867             28.800       1.400    10
  868             28.800       1.400    10
  869             28.800       1.400    10
  870             28.800       1.400    10
  871             28.800       1.400    10
  872             29.000       1.673    10
  873             29.300       1.735    10
  874             29.900       1.758    10
  875             30.222       1.685     9
  876             30.000       1.732    10
  877             30.000       1.732    10
  878             30.000       1.732    10
  879             30.000       1.732    10
  880             30.000       1.732    10
  881             30.000       1.732    10
  882             30.000       1.732    10
  883             30.000       1.732    10
  884             30.000       1.732    10
  885             30.000       1.732    10
  886             30.000       1.732    10
  887             29.900       1.700    10
  888             30.300       1.418    10
  889             30.500       1.204    10
  890             30.500       1.204    10
  891             30.500       1.204    10
  892             30.500       1.204    10
  893             30.500       1.204    10
  894             30.500       1.204    10
  895             30.500       1.204    10
  896             30.500       1.204    10
  897             30.500       1.204    10
  898             30.500       1.204    10
  899             30.500       1.204    10
  900             30.500       1.204    10
  901             30.500       1.204    10
  902             30.600       1.020    10
  903             30.600       1.020    10
  904             30.500       1.118    10
  905             30.500       1.118    10
  906             30.500       1.118    10
  907             30.500       1.118    10
  908             30.500       1.118    10
  909             30.500       1.118    10
  910             30.500       1.118    10
  911             30.500       1.225     8
  912             30.333       1.054     9
  913             30.500       1.118    10
  914             30.500       1.118    10
  915             30.500       1.118    10
  916             30.500       1.118    10
  917             30.500       1.118    10
  918             30.500       1.118    10
  919             30.500       1.118    10
  920             30.500       1.118    10
  921             30.500       1.118    10
  922             30.500       1.118    10
  923             30.500       1.118    10
  924             30.500       1.118    10
  925             30.500       1.118    10
  926             30.500       1.118    10
  927             30.500       1.118    10
  928             30.333       1.054     9
  929             30.500       1.118    10
  930             30.500       1.118    10
  931             30.500       1.118    10
  932             30.500       1.118    10
  933             30.500       1.118    10
  934             30.500       1.118    10
  935             30.500       1.118    10
  936             30.500       1.118    10
  937             30.500       1.118    10
  938             30.500       1.118    10
  939             30.500       1.118    10
  940             30.667       1.054     9
  941             30.500       1.118    10
  942             30.500       1.118    10
  943             30.500       1.118    10
  944             30.500       1.118    10
  945             30.500       1.118    10
  946             30.500       1.118    10
  947             30.300       1.187    10
  948             30.300       1.187    10
  949             30.300       1.100    10
  950             30.300       1.100    10
  951             30.300       1.100    10
  952             30.300       1.100    10
  953             30.300       1.100    10
  954             30.300       1.100    10
  955             30.300       1.100    10
  956             30.300       1.100    10
  957             30.300       1.100    10
  958             30.300       1.100    10
  959             30.300       1.100    10
  960             30.300       1.100    10
  961             30.300       1.100    10
  962             30.200       1.077    10
  963             30.100       0.943    10
  964             30.100       0.943    10
  965             30.100       0.943    10
  966             30.100       0.943    10
  967             30.100       0.943    10
  968             30.111       0.994     9
  969             30.100       0.943    10
  970             30.100       0.943    10
  971             30.100       0.943    10
  972             30.100       0.943    10
  973             30.100       0.943    10
  974             30.111       0.994     9
  975             30.100       0.943    10
  976             30.100       0.943    10
  977             30.100       0.943    10
  978             30.000       0.894    10
  979             30.111       0.875     9
  980             30.000       0.894    10
  981             30.000       0.894    10
  982             30.000       0.894    10
  983             30.000       0.894    10
  984             30.000       0.894    10
  985             30.000       0.894    10
  986             30.000       0.894    10
  987             30.000       0.894    10
  988             30.000       0.894    10
  989             30.000       0.894    10
  990             30.000       0.894    10
  991             30.100       0.700    10
  992             30.100       0.700    10
  993             30.100       0.700    10
  994             29.900       0.700    10
  995             29.900       0.700    10
  996             29.900       0.700    10
  997             29.900       0.700    10
  998             29.900       0.700    10
  999             29.900       0.700    10
  1000            29.900       0.700    10
  1001            29.900       0.700    10
  1002            29.900       0.700    10
  1003            29.900       0.700    10
  1004            29.900       0.700    10
  1005            29.900       0.700    10
  1006            29.900       0.700    10
  1007            30.000       0.894    10
  1008            30.100       1.136    10
  1009            30.000       1.095    10
  1010            30.000       1.095    10
  1011            30.000       1.095    10
  1012            30.000       1.095    10
  1013            30.000       1.095    10
  1014            30.000       1.095    10
  1015            30.000       1.095    10
  1016            30.000       1.095    10
  1017            30.000       1.095    10
  1018            30.000       1.095    10
  1019            30.000       1.095    10
  1020            30.125       1.166     8
  1021            30.000       1.095    10
  1022            30.000       1.095    10
  1023            30.000       1.095    10
  1024            30.000       1.095    10
  1025            30.000       1.095    10
  1026            30.000       1.095    10
  1027            30.000       1.095    10
  1028            30.000       1.095    10
  1029            30.000       1.095    10
  1030            30.000       1.095    10
  1031            30.000       1.095    10
  1032            30.000       1.095    10
  1033            30.000       1.095    10
  1034            30.000       1.095    10
  1035            30.000       1.095    10
  1036            30.000       1.095    10
  1037            30.000       1.095    10
  1038            30.000       1.095    10
  1039            30.100       1.136    10
  1040            30.100       1.136    10
  1041            30.100       1.136    10
  1042            30.100       1.136    10
  1043            30.100       1.136    10
  1044            30.100       1.136    10
  1045            30.100       1.136    10
  1046            30.100       1.136    10
  1047            30.100       1.136    10
  1048            30.100       1.136    10
  1049            30.100       1.136    10
  1050            30.100       1.136    10
  1051            30.100       1.136    10
  1052            30.100       1.136    10
  1053            30.100       1.136    10
  1054            30.100       1.136    10
  1055            30.111       1.197     9
  1056            30.111       1.197     9
  1057            30.100       1.136    10
  1058            30.100       1.136    10
  1059            30.100       1.136    10
  1060            30.100       1.136    10
  1061            30.000       1.155     9
  1062            30.100       1.136    10
  1063            30.100       1.136    10
